respondent_id,annual_salary_usd,salary_change_yoy_pct,job_satisfaction_score,career_growth_outlook,ai_job_replacement_fear,job_search_status,received_ai_related_promotion,work_life_balance_score,burnout_level
R03020,171000.0,15.3,4,Neutral,Neutral,Open to offers,No,3,Mild
R03021,263400.0,3.3,4,Positive,Neutral,Not looking,No,3,Severe
R03022,22700.0,8.4,4,Neutral,Very likely,Not looking,Yes,4,None
R03023,133800.0,-6.0,5,Positive,Very unlikely,Not looking,No,5,Mild
R03024,165300.0,1.9,4,Positive,Neutral,Open to offers,No,5,Moderate
R03025,17800.0,9.0,3,Neutral,Very unlikely,Not looking,No,5,Moderate
R03026,156400.0,15.1,5,Neutral,Very unlikely,Not looking,No,3,Moderate
R03027,33600.0,-2.4,2,Positive,Somewhat likely,Actively looking,No,1,Moderate
R03028,56400.0,2.4,3,Neutral,Unlikely,Not looking,No,4,None
R03029,20700.0,2.2,5,Neutral,Unlikely,Recently changed,Yes,3,Mild
R03030,54000.0,-11.9,5,Neutral,Unlikely,Not looking,No,2,Mild
R03031,86500.0,5.7,3,Negative,Neutral,Open to offers,No,1,Mild
R03032,66100.0,-2.0,3,Negative,Neutral,Open to offers,Yes,3,Severe
R03033,250300.0,7.8,3,Neutral,Neutral,Not looking,No,3,Moderate
R03034,118800.0,8.1,4,Negative,Neutral,Actively looking,No,1,Severe
R03035,173800.0,13.6,3,Neutral,Unlikely,Actively looking,No,3,None
R03036,283800.0,15.7,4,Very positive,Neutral,Actively looking,No,2,Moderate
R03037,35300.0,-8.1,4,Positive,Very unlikely,Not looking,No,5,Moderate
R03038,120200.0,9.9,5,Positive,Neutral,Actively looking,No,3,Severe
R03039,157000.0,9.8,3,Negative,Unlikely,Not looking,No,3,Mild
R03040,146200.0,-6.9,3,Negative,Neutral,Not looking,No,4,None
R03041,58300.0,9.8,4,Neutral,Very unlikely,Open to offers,No,5,Moderate
R03042,33800.0,10.2,4,Positive,Somewhat likely,Open to offers,No,5,Moderate
R03043,50100.0,-4.2,4,Neutral,Unlikely,Recently changed,No,5,Mild
R03044,292600.0,8.6,4,Positive,Very unlikely,Open to offers,No,5,Mild
R03045,42800.0,-10.8,5,Neutral,Very unlikely,Recently changed,No,2,Moderate
R03046,21900.0,3.5,4,Very positive,Somewhat likely,Open to offers,Yes,4,Mild
R03047,157100.0,7.5,3,Positive,Somewhat likely,Not looking,No,3,Moderate
R03048,35800.0,-4.7,5,Negative,Very unlikely,Recently changed,Yes,2,Moderate
R03049,213000.0,-11.9,5,Very negative,Unlikely,Not looking,No,3,Mild
R03050,181500.0,-8.0,5,Positive,Unlikely,Not looking,No,4,Moderate
R03051,21100.0,7.0,4,Negative,Very unlikely,Not looking,No,4,None
R03052,149400.0,14.1,5,Positive,Somewhat likely,Open to offers,No,3,Mild
R03053,95100.0,-0.5,4,Neutral,Very unlikely,Not looking,No,3,Severe
R03054,169900.0,1.1,4,Neutral,Somewhat likely,Actively looking,No,3,Moderate
R03055,215900.0,6.2,5,Neutral,Neutral,Not looking,No,4,Mild
R03056,133400.0,2.3,4,Positive,Very unlikely,Not looking,No,5,Mild
R03057,82400.0,-1.9,1,Very positive,Neutral,Not looking,No,4,None
R03058,154600.0,13.7,3,Neutral,Very likely,Open to offers,No,2,Moderate
R03059,18100.0,11.8,5,Positive,Somewhat likely,Actively looking,No,4,Severe
R03060,83600.0,-2.5,4,Negative,Neutral,Recently changed,No,4,Mild
R03061,145100.0,12.6,4,Very negative,Somewhat likely,Actively looking,Yes,5,None
R03062,238400.0,17.7,5,Very negative,Very unlikely,Open to offers,No,3,Mild
R03063,74700.0,9.2,4,Positive,Neutral,Recently changed,No,1,None
R03064,38900.0,-1.8,5,Neutral,Very likely,Not looking,No,4,Moderate
R03065,33600.0,-2.9,3,Neutral,Neutral,Open to offers,No,3,Mild
R03066,83600.0,-0.3,4,Neutral,Unlikely,Open to offers,No,3,Moderate
R03067,186400.0,-8.4,5,Positive,Unlikely,Open to offers,No,3,None
R03068,148600.0,8.7,2,Very positive,Very unlikely,Recently changed,No,4,Moderate
R03069,190400.0,11.7,4,Neutral,Unlikely,Actively looking,No,5,None
R03070,43400.0,6.8,5,Positive,Unlikely,Open to offers,No,4,Moderate
R03071,35600.0,1.4,3,Negative,Neutral,Recently changed,No,4,Severe
R03072,139500.0,-3.5,3,Positive,Very unlikely,Open to offers,No,4,Mild
R03073,35700.0,-3.3,4,Neutral,Neutral,Not looking,No,3,None
R03074,45200.0,-4.8,3,Positive,Unlikely,Open to offers,No,3,Mild
R03075,122200.0,1.1,4,Very positive,Neutral,Open to offers,Yes,5,None
R03076,103900.0,22.6,4,Positive,Unlikely,Not looking,Yes,4,Moderate
R03077,84800.0,5.5,4,Very positive,Somewhat likely,Open to offers,No,3,None
R03078,44900.0,-7.5,4,Neutral,Unlikely,Not looking,No,5,Severe
R03079,191300.0,16.6,5,Very positive,Unlikely,Open to offers,No,1,Mild
R03080,202600.0,3.6,5,Very negative,Neutral,Open to offers,No,3,Moderate
R03081,319900.0,-1.8,5,Negative,Neutral,Open to offers,No,3,Severe
R03082,224200.0,3.2,3,Very positive,Unlikely,Open to offers,No,4,None
R03083,163600.0,-9.7,4,Negative,Very unlikely,Open to offers,No,4,Mild
R03084,37500.0,10.2,5,Negative,Unlikely,Not looking,No,1,Moderate
R03085,165800.0,7.3,3,Neutral,Very unlikely,Recently changed,No,4,None
R03086,65400.0,3.7,5,Very positive,Neutral,Not looking,Yes,5,Mild
R03087,46400.0,-12.2,4,Positive,Neutral,Not looking,No,5,Moderate
R03088,59500.0,8.6,4,Very positive,Neutral,Not looking,No,4,Mild
R03089,108700.0,0.4,5,Very positive,Very likely,Actively looking,No,5,Mild
R03090,196400.0,14.4,4,Positive,Somewhat likely,Open to offers,Yes,3,Moderate
R03091,55700.0,14.0,2,Neutral,Very likely,Actively looking,Yes,5,None
R03092,89100.0,22.6,5,Positive,Very likely,Open to offers,No,4,None
R03093,77700.0,13.6,5,Negative,Unlikely,Actively looking,No,3,Moderate
R03094,109800.0,9.6,3,Negative,Unlikely,Actively looking,No,1,Moderate
R03095,221600.0,12.5,3,Very negative,Very unlikely,Not looking,No,5,None
R03096,230800.0,-5.2,4,Neutral,Unlikely,Actively looking,No,1,Moderate
R03097,193600.0,6.2,3,Positive,Somewhat likely,Not looking,Yes,4,None
R03098,50000.0,6.9,5,Neutral,Somewhat likely,Open to offers,No,5,Moderate
R03099,29800.0,-5.2,5,Positive,Unlikely,Open to offers,No,3,Moderate
R03100,75800.0,8.7,3,Very negative,Somewhat likely,Not looking,No,1,None
R03101,143400.0,2.5,5,Neutral,Unlikely,Open to offers,Yes,1,Severe
R03102,178800.0,16.7,1,Negative,Somewhat likely,Not looking,Yes,2,Moderate
R03103,196500.0,-4.5,3,Positive,Unlikely,Open to offers,No,4,None
R03104,220200.0,-0.7,1,Neutral,Very unlikely,Open to offers,No,1,Moderate
R03105,22200.0,4.9,3,Positive,Unlikely,Recently changed,Yes,2,Moderate
R03106,60300.0,16.2,4,Neutral,Somewhat likely,Actively looking,Yes,4,Moderate
R03107,150200.0,-1.7,5,Positive,Somewhat likely,Not looking,Yes,4,Moderate
R03108,66400.0,9.8,2,Neutral,Neutral,Not looking,No,3,Mild
R03109,30200.0,2.8,5,Very positive,Unlikely,Recently changed,Yes,1,Moderate
R03110,79600.0,4.7,5,Neutral,Neutral,Not looking,No,4,Moderate
R03111,58100.0,10.3,5,Very positive,Neutral,Open to offers,No,4,Moderate
R03112,205000.0,8.3,5,Positive,Somewhat likely,Actively looking,Yes,2,Moderate
R03113,69700.0,12.7,3,Neutral,Neutral,Not looking,No,4,Moderate
R03114,87400.0,16.6,4,Positive,Neutral,Not looking,No,5,Mild
R03115,133000.0,1.0,4,Negative,Very unlikely,Not looking,No,5,Moderate
R03116,84400.0,1.9,5,Negative,Somewhat likely,Actively looking,No,1,Mild
R03117,213500.0,10.2,5,Neutral,Neutral,Recently changed,No,2,None
R03118,57400.0,19.1,3,Negative,Somewhat likely,Open to offers,No,5,Moderate
R03119,73100.0,4.1,3,Very negative,Unlikely,Not looking,No,4,Mild
R03120,341100.0,6.3,4,Positive,Very unlikely,Open to offers,No,4,Mild
R03121,49700.0,5.2,5,Positive,Neutral,Not looking,No,4,Moderate
R03122,19800.0,5.7,1,Neutral,Unlikely,Open to offers,No,4,Moderate
R03123,104200.0,6.4,5,Neutral,Very unlikely,Open to offers,No,3,Moderate
R03124,84300.0,16.0,2,Neutral,Neutral,Open to offers,No,3,Mild
R03125,73700.0,-0.6,3,Neutral,Very likely,Not looking,No,3,Moderate
R03126,68600.0,3.9,2,Neutral,Unlikely,Not looking,No,4,Moderate
R03127,36300.0,3.1,3,Negative,Unlikely,Open to offers,Yes,4,Mild
R03128,194600.0,7.1,4,Positive,Neutral,Recently changed,No,1,Mild
R03129,95300.0,-7.4,5,Positive,Neutral,Actively looking,No,3,Mild
R03130,131500.0,13.6,4,Very positive,Neutral,Open to offers,No,2,Mild
R03131,153200.0,13.7,5,Positive,Neutral,Not looking,No,4,None
R03132,167700.0,12.8,1,Neutral,Somewhat likely,Not looking,No,5,None
R03133,23800.0,17.7,4,Positive,Neutral,Recently changed,Yes,5,None
R03134,239100.0,14.1,2,Positive,Somewhat likely,Not looking,No,3,Mild
R03135,118000.0,11.0,3,Positive,Unlikely,Not looking,No,4,Mild
R03136,206300.0,-10.6,1,Positive,Neutral,Not looking,No,3,None
R03137,111900.0,8.8,4,Neutral,Unlikely,Recently changed,Yes,4,Moderate
R03138,35200.0,-0.8,1,Neutral,Unlikely,Not looking,No,5,None
R03139,31800.0,-4.9,4,Negative,Somewhat likely,Actively looking,No,4,Mild
R03140,275000.0,-1.8,3,Very negative,Very likely,Not looking,Yes,3,None
R03141,44300.0,24.5,4,Positive,Very likely,Open to offers,No,3,Mild
R03142,136700.0,11.3,1,Positive,Somewhat likely,Not looking,No,5,Mild
R03143,22300.0,-1.4,5,Positive,Neutral,Recently changed,No,3,Moderate
R03144,30000.0,-13.7,5,Neutral,Neutral,Recently changed,No,3,Mild
R03145,159400.0,-1.8,1,Neutral,Neutral,Not looking,No,5,Moderate
R03146,95600.0,13.4,4,Very negative,Unlikely,Not looking,Yes,1,Mild
R03147,23800.0,3.3,4,Positive,Somewhat likely,Actively looking,No,4,Moderate
R03148,102900.0,7.6,4,Negative,Very unlikely,Open to offers,No,4,None
R03149,48900.0,-1.1,5,Neutral,Neutral,Open to offers,No,5,None
R03150,149100.0,15.3,4,Positive,Somewhat likely,Not looking,No,3,Moderate
R03151,143400.0,13.5,4,Neutral,Very likely,Not looking,No,4,Moderate
R03152,188400.0,-4.0,1,Positive,Neutral,Actively looking,Yes,3,Moderate
R03153,136500.0,4.3,5,Positive,Neutral,Open to offers,No,5,None
R03154,51700.0,0.1,4,Positive,Unlikely,Open to offers,Yes,4,Moderate
R03155,163300.0,4.3,5,Neutral,Neutral,Open to offers,No,4,Severe
R03156,25500.0,2.0,4,Neutral,Unlikely,Recently changed,No,3,Moderate
R03157,167200.0,9.3,4,Very positive,Very unlikely,Not looking,Yes,4,None
R03158,224400.0,-14.6,5,Very negative,Very likely,Not looking,No,4,Moderate
R03159,126900.0,15.1,4,Very positive,Neutral,Open to offers,Yes,1,Moderate
R03160,170500.0,13.1,4,Negative,Unlikely,Recently changed,No,4,Moderate
R03161,126700.0,20.5,1,Positive,Very likely,Actively looking,No,4,Mild
R03162,184800.0,-3.3,5,Neutral,Very unlikely,Recently changed,No,4,Moderate
R03163,108900.0,12.1,3,Positive,Unlikely,Not looking,Yes,4,None
R03164,61900.0,0.9,1,Positive,Neutral,Not looking,No,4,Moderate
R03165,88200.0,4.9,3,Positive,Unlikely,Not looking,No,2,Severe
R03166,121000.0,-8.5,4,Positive,Unlikely,Not looking,No,1,Mild
R03167,50300.0,-0.6,4,Positive,Unlikely,Recently changed,No,3,Moderate
R03168,50600.0,0.0,3,Very positive,Unlikely,Open to offers,No,5,Mild
R03169,145200.0,8.5,5,Positive,Unlikely,Not looking,No,3,Moderate
R03170,94500.0,2.2,5,Neutral,Somewhat likely,Open to offers,Yes,5,Mild
R03171,156300.0,2.1,5,Very positive,Very unlikely,Open to offers,No,4,Moderate
R03172,238000.0,11.8,3,Positive,Neutral,Recently changed,No,4,Mild
R03173,25600.0,4.8,5,Very negative,Unlikely,Not looking,Yes,3,Moderate
R03174,16300.0,5.0,4,Neutral,Unlikely,Not looking,No,5,Mild
R03175,18500.0,-0.8,5,Positive,Neutral,Open to offers,No,5,None
R03176,87500.0,11.9,4,Positive,Neutral,Open to offers,No,4,Moderate
R03177,235400.0,-6.8,4,Positive,Unlikely,Open to offers,Yes,3,Mild
R03178,149000.0,3.2,3,Positive,Somewhat likely,Not looking,No,4,Severe
R03179,45100.0,7.1,3,Positive,Neutral,Not looking,No,5,None
R03180,38300.0,11.5,4,Very positive,Somewhat likely,Open to offers,No,5,Mild
R03181,109400.0,9.4,3,Neutral,Very likely,Open to offers,No,4,None
R03182,13400.0,4.1,2,Neutral,Unlikely,Not looking,No,4,Mild
R03183,149500.0,11.5,2,Positive,Neutral,Not looking,No,2,Moderate
R03184,69100.0,20.7,4,Negative,Unlikely,Not looking,No,3,Moderate
R03185,35400.0,-4.7,4,Very positive,Neutral,Open to offers,No,4,Mild
R03186,280200.0,-1.7,3,Negative,Very unlikely,Actively looking,No,5,Severe
R03187,158500.0,7.7,4,Positive,Somewhat likely,Not looking,No,5,None
R03188,219000.0,3.0,3,Positive,Neutral,Open to offers,Yes,5,Mild
R03189,17000.0,17.6,2,Positive,Very unlikely,Open to offers,No,3,Severe
R03190,10800.0,6.0,4,Positive,Very unlikely,Not looking,No,2,Mild
R03191,233500.0,0.4,4,Negative,Unlikely,Actively looking,No,1,Mild
R03192,21500.0,4.8,4,Positive,Unlikely,Not looking,No,3,Severe
R03193,64400.0,17.9,4,Positive,Unlikely,Open to offers,No,5,Moderate
R03194,191200.0,0.4,5,Very negative,Very unlikely,Not looking,No,4,Mild
R03195,117400.0,2.3,3,Negative,Somewhat likely,Actively looking,Yes,5,None
R03196,107400.0,6.9,3,Very positive,Very unlikely,Recently changed,No,4,Mild
R03197,257600.0,3.4,4,Positive,Neutral,Not looking,No,3,None
R03198,173500.0,-11.0,5,Positive,Somewhat likely,Not looking,Yes,4,None
R03199,125600.0,16.4,4,Very positive,Somewhat likely,Recently changed,No,5,None
R03200,41500.0,17.4,4,Positive,Unlikely,Actively looking,No,2,Moderate
R03201,5000.0,14.0,4,Negative,Somewhat likely,Not looking,No,4,None
R03202,176400.0,17.8,4,Positive,Unlikely,Not looking,Yes,5,None
R03203,56900.0,13.9,3,Very positive,Neutral,Not looking,No,5,None
R03204,242400.0,-7.5,4,Negative,Very likely,Recently changed,No,2,Severe
R03205,177700.0,24.0,5,Very positive,Neutral,Not looking,No,5,Severe
R03206,95500.0,15.5,5,Neutral,Very unlikely,Not looking,No,3,Moderate
R03207,26300.0,3.0,2,Very positive,Neutral,Open to offers,No,4,Mild
R03208,313600.0,10.7,4,Neutral,Very unlikely,Not looking,Yes,3,None
R03209,187800.0,-0.1,4,Negative,Neutral,Open to offers,No,5,None
R03210,194400.0,-1.4,1,Positive,Somewhat likely,Open to offers,Yes,3,Mild
R03211,53000.0,-0.7,3,Neutral,Somewhat likely,Open to offers,No,4,Moderate
R03212,15300.0,-9.5,4,Very negative,Neutral,Not looking,No,3,Mild
R03213,212600.0,5.7,4,Neutral,Neutral,Actively looking,No,3,Moderate
R03214,228900.0,0.6,3,Neutral,Very likely,Not looking,No,4,None
R03215,47500.0,25.6,4,Neutral,Neutral,Not looking,No,4,Moderate
R03216,160100.0,5.3,2,Negative,Very likely,Not looking,No,2,None
R03217,110100.0,-2.4,2,Neutral,Somewhat likely,Not looking,No,4,Mild
R03218,92300.0,10.9,4,Neutral,Very unlikely,Not looking,No,4,Moderate
R03219,26700.0,-0.2,3,Negative,Somewhat likely,Not looking,No,4,Mild
R03220,62100.0,7.2,5,Positive,Neutral,Actively looking,No,4,Mild
R03221,57600.0,1.4,4,Negative,Somewhat likely,Actively looking,No,3,Severe
R03222,85600.0,2.0,2,Positive,Neutral,Open to offers,No,3,Moderate
R03223,204500.0,-0.8,4,Positive,Very likely,Not looking,No,4,None
R03224,21900.0,10.1,4,Negative,Very unlikely,Not looking,No,5,Mild
R03225,51300.0,10.3,5,Positive,Very unlikely,Recently changed,No,3,Moderate
R03226,42800.0,1.5,2,Neutral,Unlikely,Open to offers,Yes,4,None
R03227,23900.0,4.5,4,Neutral,Somewhat likely,Open to offers,No,4,Moderate
R03228,29300.0,-5.0,3,Neutral,Unlikely,Open to offers,No,1,Moderate
R03229,24300.0,16.3,5,Neutral,Very unlikely,Actively looking,No,3,Moderate
R03230,111300.0,18.3,3,Very positive,Neutral,Not looking,No,3,None
R03231,94300.0,-4.2,1,Neutral,Very unlikely,Not looking,No,5,None
R03232,88300.0,17.2,3,Neutral,Neutral,Not looking,No,4,Mild
R03233,193600.0,-5.4,4,Positive,Neutral,Open to offers,No,4,None
R03234,366700.0,7.3,3,Positive,Very likely,Actively looking,No,2,Severe
R03235,185000.0,5.6,3,Neutral,Somewhat likely,Actively looking,No,3,Moderate
R03236,49800.0,3.3,3,Neutral,Neutral,Actively looking,No,1,Moderate
R03237,185200.0,1.6,3,Very positive,Neutral,Open to offers,No,4,Mild
R03238,123100.0,5.3,4,Positive,Very unlikely,Not looking,No,1,Moderate
R03239,58400.0,8.8,5,Neutral,Very unlikely,Open to offers,No,3,Mild
R03240,167900.0,22.1,3,Positive,Neutral,Not looking,Yes,3,Mild
R03241,35600.0,-4.1,2,Positive,Unlikely,Open to offers,No,3,None
R03242,193000.0,-0.3,3,Positive,Somewhat likely,Not looking,No,4,None
R03243,84900.0,7.4,4,Positive,Very unlikely,Open to offers,No,4,None
R03244,148300.0,-3.5,1,Neutral,Somewhat likely,Not looking,No,4,Mild
R03245,100000.0,-12.1,2,Very negative,Very likely,Not looking,No,4,Moderate
R03246,148000.0,31.0,1,Very positive,Neutral,Not looking,Yes,5,Moderate
R03247,230400.0,20.4,3,Positive,Unlikely,Not looking,No,3,Mild
R03248,202400.0,0.2,4,Positive,Unlikely,Open to offers,No,2,None
R03249,166800.0,-12.6,4,Positive,Somewhat likely,Not looking,No,2,None
R03250,137600.0,-8.1,4,Positive,Neutral,Open to offers,Yes,5,Moderate
R03251,260100.0,4.4,4,Positive,Very likely,Not looking,No,5,Mild
R03252,173500.0,-4.8,4,Neutral,Somewhat likely,Open to offers,No,2,Severe
R03253,258700.0,5.0,3,Positive,Neutral,Not looking,No,5,Moderate
R03254,106600.0,7.9,5,Positive,Very likely,Actively looking,Yes,4,None
R03255,238700.0,14.1,4,Very positive,Unlikely,Not looking,No,4,Severe
R03256,88600.0,0.8,1,Very positive,Unlikely,Open to offers,No,5,Severe
R03257,200100.0,3.2,3,Neutral,Unlikely,Not looking,No,5,None
R03258,53700.0,-0.2,5,Positive,Somewhat likely,Not looking,No,3,Moderate
R03259,105200.0,-9.5,3,Very positive,Somewhat likely,Not looking,No,3,Severe
R03260,102800.0,5.6,5,Positive,Neutral,Not looking,No,1,Severe
R03261,50000.0,-7.3,1,Negative,Somewhat likely,Not looking,No,4,Moderate
R03262,31600.0,0.4,3,Positive,Somewhat likely,Actively looking,No,3,Mild
R03263,132700.0,8.1,1,Neutral,Neutral,Not looking,No,5,None
R03264,55600.0,5.1,2,Very negative,Very unlikely,Actively looking,No,2,Mild
R03265,170200.0,6.8,1,Very positive,Somewhat likely,Actively looking,Yes,3,None
R03266,261600.0,4.2,3,Positive,Very likely,Not looking,No,2,Moderate
R03267,169300.0,2.7,5,Very positive,Neutral,Not looking,No,3,Moderate
R03268,141700.0,-8.0,4,Positive,Unlikely,Actively looking,No,5,Mild
R03269,309100.0,11.6,4,Neutral,Somewhat likely,Recently changed,No,3,Moderate
R03270,103500.0,-6.8,4,Negative,Unlikely,Open to offers,No,3,Moderate
R03271,99200.0,6.8,1,Positive,Neutral,Open to offers,No,3,Mild
R03272,26400.0,-19.5,3,Negative,Unlikely,Not looking,No,4,None
R03273,68900.0,19.7,5,Neutral,Very unlikely,Recently changed,No,4,None
R03274,128100.0,1.8,4,Neutral,Neutral,Not looking,No,3,None
R03275,45400.0,-1.2,2,Negative,Very likely,Actively looking,No,3,Mild
R03276,210900.0,8.4,4,Positive,Very likely,Not looking,No,3,None
R03277,177400.0,10.8,3,Very positive,Neutral,Open to offers,No,5,None
R03278,40400.0,7.2,4,Very positive,Unlikely,Not looking,No,2,Mild
R03279,33900.0,13.5,4,Negative,Somewhat likely,Actively looking,No,3,Moderate
R03280,54900.0,2.6,4,Negative,Somewhat likely,Open to offers,No,4,Moderate
R03281,35200.0,2.1,2,Neutral,Very unlikely,Actively looking,No,4,Moderate
R03282,54100.0,3.6,4,Very positive,Somewhat likely,Open to offers,No,3,None
R03283,49400.0,9.0,1,Very positive,Neutral,Not looking,Yes,5,Moderate
R03284,49100.0,-4.3,3,Neutral,Somewhat likely,Not looking,Yes,3,Moderate
R03285,190500.0,-4.7,4,Positive,Neutral,Not looking,No,2,None
R03286,230100.0,25.7,4,Negative,Somewhat likely,Not looking,No,4,Mild
R03287,19700.0,10.4,4,Positive,Neutral,Actively looking,No,3,Moderate
R03288,69200.0,5.6,3,Negative,Unlikely,Not looking,No,4,Moderate
R03289,17200.0,8.8,1,Positive,Unlikely,Open to offers,No,3,Moderate
R03290,73300.0,3.9,3,Very positive,Unlikely,Open to offers,Yes,4,Moderate
R03291,203300.0,11.2,4,Positive,Somewhat likely,Open to offers,No,4,None
R03292,119700.0,5.2,5,Neutral,Neutral,Not looking,Yes,4,Moderate
R03293,66900.0,2.0,4,Neutral,Somewhat likely,Not looking,No,4,Moderate
R03294,186100.0,-1.8,4,Positive,Very unlikely,Not looking,No,3,Severe
R03295,61000.0,17.6,4,Neutral,Unlikely,Actively looking,No,5,Moderate
R03296,35000.0,-3.9,3,Positive,Very unlikely,Not looking,Yes,3,Moderate
R03297,382100.0,-4.5,3,Positive,Neutral,Open to offers,No,3,Mild
R03298,79200.0,11.9,5,Neutral,Somewhat likely,Open to offers,No,4,Mild
R03299,83800.0,14.7,3,Neutral,Unlikely,Open to offers,No,1,Mild
R03300,114500.0,-0.7,2,Positive,Unlikely,Not looking,No,2,Mild
R03301,69500.0,0.8,5,Positive,Unlikely,Not looking,No,3,Severe
R03302,56500.0,0.8,4,Positive,Somewhat likely,Not looking,No,3,Moderate
R03303,148000.0,-2.8,5,Neutral,Somewhat likely,Not looking,No,2,None
R03304,175000.0,-2.4,3,Positive,Very unlikely,Recently changed,No,3,Moderate
R03305,95800.0,5.2,1,Neutral,Neutral,Actively looking,No,3,None
R03306,117800.0,6.4,3,Neutral,Unlikely,Not looking,No,3,Mild
R03307,180300.0,12.8,5,Positive,Neutral,Open to offers,No,4,None
R03308,31800.0,5.7,3,Very positive,Unlikely,Actively looking,No,4,Moderate
R03309,242700.0,6.4,2,Positive,Neutral,Not looking,No,5,Severe
R03310,66300.0,15.8,3,Neutral,Neutral,Not looking,No,4,Mild
R03311,66100.0,6.8,2,Positive,Unlikely,Actively looking,No,4,Moderate
R03312,165100.0,-4.4,5,Positive,Unlikely,Not looking,Yes,2,Severe
R03313,49900.0,7.4,3,Neutral,Neutral,Actively looking,Yes,1,Mild
R03314,32000.0,2.9,5,Neutral,Very unlikely,Not looking,No,3,Moderate
R03315,53100.0,11.7,5,Neutral,Very likely,Open to offers,No,2,Moderate
R03316,191500.0,-1.8,4,Positive,Neutral,Not looking,No,4,Severe
R03317,79100.0,3.5,5,Very positive,Neutral,Actively looking,No,4,Mild
R03318,140600.0,5.8,4,Very negative,Unlikely,Not looking,No,1,Mild
R03319,154300.0,2.8,3,Positive,Neutral,Not looking,No,3,Mild
R03320,204400.0,13.9,5,Neutral,Very unlikely,Open to offers,No,2,Mild
R03321,121400.0,9.9,4,Positive,Unlikely,Actively looking,Yes,2,Moderate
R03322,20600.0,10.5,5,Neutral,Very likely,Not looking,No,2,Mild
R03323,153200.0,-13.4,4,Neutral,Somewhat likely,Not looking,Yes,3,Severe
R03324,14800.0,4.2,3,Very negative,Unlikely,Not looking,Yes,3,Moderate
R03325,81500.0,13.6,2,Positive,Somewhat likely,Recently changed,No,3,Mild
R03326,12600.0,-2.4,3,Positive,Somewhat likely,Open to offers,No,2,Moderate
R03327,195300.0,-12.8,2,Positive,Very unlikely,Open to offers,No,4,Mild
R03328,140800.0,1.7,4,Negative,Very unlikely,Recently changed,No,4,Mild
R03329,150400.0,11.5,3,Positive,Unlikely,Actively looking,No,3,Mild
R03330,188200.0,25.0,5,Very positive,Neutral,Not looking,No,3,Moderate
R03331,191600.0,9.8,5,Positive,Unlikely,Actively looking,Yes,3,Mild
R03332,128500.0,14.2,3,Positive,Unlikely,Open to offers,Yes,4,None
R03333,135800.0,3.0,2,Negative,Neutral,Recently changed,No,1,Moderate
R03334,232700.0,-5.0,3,Very positive,Neutral,Not looking,No,2,Severe
R03335,120300.0,10.6,5,Positive,Very unlikely,Not looking,No,4,Mild
R03336,139500.0,13.7,3,Very negative,Neutral,Not looking,No,1,Moderate
R03337,125400.0,4.6,4,Neutral,Unlikely,Open to offers,No,4,Moderate
R03338,64900.0,-4.4,4,Neutral,Neutral,Open to offers,No,5,Severe
R03339,159900.0,-6.8,4,Positive,Neutral,Not looking,No,2,Mild
R03340,69300.0,13.5,3,Negative,Very likely,Recently changed,No,3,None
R03341,63500.0,12.6,3,Very positive,Very unlikely,Not looking,No,4,Mild
R03342,94200.0,-0.5,4,Positive,Very unlikely,Actively looking,No,4,Mild
R03343,93400.0,10.5,4,Positive,Neutral,Not looking,No,3,Moderate
R03344,157300.0,10.7,5,Positive,Neutral,Not looking,Yes,5,Severe
R03345,68100.0,12.4,2,Negative,Unlikely,Not looking,No,3,Mild
R03346,136700.0,14.1,2,Neutral,Somewhat likely,Actively looking,No,1,Moderate
R03347,142900.0,11.4,4,Negative,Somewhat likely,Recently changed,Yes,4,None
R03348,343900.0,-10.6,4,Very positive,Unlikely,Not looking,No,4,Moderate
R03349,57900.0,14.0,5,Negative,Unlikely,Not looking,No,3,None
R03350,32900.0,-12.2,3,Very negative,Neutral,Open to offers,No,3,Moderate
R03351,38000.0,11.6,5,Positive,Neutral,Open to offers,Yes,3,Moderate
R03352,97500.0,10.9,3,Very positive,Unlikely,Open to offers,No,4,Moderate
R03353,185900.0,10.0,1,Positive,Very unlikely,Not looking,Yes,4,Mild
R03354,149800.0,8.8,1,Positive,Somewhat likely,Open to offers,No,3,Mild
R03355,149500.0,15.6,4,Positive,Very unlikely,Not looking,No,1,Mild
R03356,58200.0,5.4,4,Positive,Neutral,Not looking,Yes,3,None
R03357,78100.0,-0.8,5,Very positive,Unlikely,Recently changed,No,5,Moderate
R03358,103800.0,8.6,3,Positive,Neutral,Open to offers,Yes,5,Mild
R03359,57400.0,-10.2,4,Positive,Unlikely,Not looking,No,4,Mild
R03360,88800.0,15.8,4,Positive,Neutral,Recently changed,No,3,Mild
R03361,139600.0,9.7,2,Positive,Very unlikely,Actively looking,No,4,Mild
R03362,47600.0,15.6,5,Neutral,Unlikely,Not looking,No,5,None
R03363,82600.0,12.3,4,Positive,Neutral,Not looking,Yes,4,Mild
R03364,71000.0,4.3,3,Positive,Neutral,Not looking,Yes,3,Moderate
R03365,60600.0,-0.5,3,Positive,Neutral,Not looking,Yes,4,Mild
R03366,27700.0,1.6,4,Positive,Neutral,Recently changed,No,4,Mild
R03367,142600.0,-2.3,5,Negative,Neutral,Not looking,No,4,Severe
R03368,66100.0,19.1,4,Neutral,Unlikely,Not looking,No,4,None
R03369,104300.0,-0.5,4,Positive,Unlikely,Open to offers,Yes,2,Mild
