respondent_id,company_has_ai_policy,ai_bias_concern_level,data_privacy_concern_level,supports_ai_regulation,has_experienced_ai_misuse,trust_in_ai_decisions
R03264,Yes - formal,3,5,Strongly disagree,Unsure,Very low
R03265,Yes - formal,4,5,Strongly disagree,No,Moderate
R03266,No,3,5,Strongly disagree,Unsure,High
R03267,Yes - informal,3,5,Strongly disagree,Yes,High
R03268,No,1,5,Strongly disagree,No,Very low
R03269,Yes - informal,5,4,Strongly agree,Yes,High
R03270,No,2,3,Strongly agree,Unsure,Moderate
R03271,Yes - formal,5,5,Neutral,No,High
R03272,Yes - formal,4,4,Agree,Unsure,High
R03273,No,5,4,Strongly agree,No,Moderate
R03274,No,4,3,Neutral,Unsure,Moderate
R03275,Don't know,3,5,Strongly agree,No,Moderate
R03276,Yes - formal,4,5,Agree,No,Low
R03277,Yes - formal,3,3,Disagree,Unsure,Moderate
R03278,Yes - informal,4,3,Agree,Unsure,Moderate
R03279,Yes - informal,2,5,Neutral,No,High
R03280,Yes - formal,1,5,Agree,No,Very low
R03281,Yes - informal,3,4,Neutral,Yes,Very low
R03282,Don't know,3,2,Strongly agree,No,Low
R03283,Yes - informal,5,4,Strongly agree,No,Low
R03284,Don't know,3,5,Agree,Yes,Very low
R03285,Yes - informal,3,2,Neutral,Unsure,Moderate
R03286,Yes - informal,4,3,Strongly agree,No,Low
R03287,Don't know,2,3,Neutral,Unsure,Moderate
R03288,Don't know,4,3,Neutral,Unsure,Moderate
R03289,No,3,3,Agree,No,Moderate
R03290,Yes - informal,2,5,Agree,No,Low
R03291,Yes - informal,5,3,Neutral,Unsure,High
R03292,Don't know,5,5,Agree,No,High
R03293,Yes - formal,4,3,Agree,Yes,Low
R03294,No,4,5,Strongly agree,Unsure,High
R03295,No,5,3,Strongly agree,No,High
R03296,Yes - formal,5,1,Strongly disagree,No,Moderate
R03297,Don't know,5,3,Strongly disagree,No,Moderate
R03298,Yes - informal,4,2,Strongly agree,Unsure,High
R03299,Yes - informal,4,4,Disagree,Unsure,Moderate
R03300,Don't know,5,4,Agree,No,High
R03301,Yes - formal,4,4,Strongly agree,No,Low
R03302,Don't know,4,3,Neutral,No,Very low
R03303,No,4,4,Agree,No,Moderate
R03304,No,4,4,Disagree,No,Moderate
R03305,Don't know,5,3,Agree,Unsure,Moderate
R03306,No,5,4,Agree,Yes,Very low
R03307,No,2,5,Agree,No,High
R03308,No,4,5,Strongly disagree,No,Low
R03309,Yes - formal,4,4,Neutral,No,Low
R03310,Yes - formal,2,5,Agree,No,High
R03311,Yes - formal,3,4,Disagree,No,Moderate
R03312,No,2,2,Strongly agree,No,High
R03313,Don't know,2,5,Agree,Unsure,Moderate
R03314,No,5,3,Disagree,No,High
R03315,No,5,3,Neutral,Unsure,High
R03316,Don't know,2,3,Neutral,No,Moderate
R03317,No,3,4,Agree,Unsure,Very low
R03318,Don't know,3,2,Neutral,No,Low
R03319,Yes - informal,1,3,Neutral,No,Low
R03320,Yes - formal,3,5,Disagree,Unsure,Moderate
R03321,No,4,5,Agree,No,Low
R03322,Yes - informal,1,3,Strongly disagree,No,Low
R03323,Don't know,3,4,Strongly agree,No,High
R03324,Yes - formal,1,2,Neutral,No,Low
R03325,No,3,2,Strongly agree,Unsure,Moderate
R03326,No,3,2,Agree,No,Moderate
R03327,Yes - informal,4,2,Neutral,No,High
R03328,Don't know,2,3,Strongly agree,No,High
R03329,No,4,5,Disagree,Unsure,Moderate
R03330,Yes - formal,3,5,Agree,No,Moderate
R03331,No,4,3,Disagree,No,Very low
R03332,No,3,1,Agree,No,Very low
R03333,Yes - formal,4,5,Agree,No,Moderate
R03334,Yes - formal,4,4,Disagree,Unsure,High
R03335,No,4,3,Strongly agree,Unsure,Moderate
R03336,Yes - formal,4,2,Strongly agree,No,Low
R03337,No,4,3,Neutral,Yes,Moderate
R03338,Yes - formal,5,2,Strongly agree,Unsure,Low
R03339,No,4,2,Neutral,No,Moderate
R03340,Don't know,4,5,Agree,Yes,Very low
R03341,Don't know,4,4,Agree,No,Low
R03342,Yes - formal,5,4,Agree,No,Moderate
R03343,No,3,4,Neutral,Yes,Very low
R03344,Yes - informal,2,4,Neutral,No,High
R03345,Yes - informal,3,4,Disagree,No,Moderate
R03346,Don't know,5,1,Agree,No,High
R03347,Yes - informal,4,4,Strongly agree,Yes,Moderate
R03348,No,1,4,Agree,No,High
R03349,Don't know,4,5,Neutral,No,Moderate
R03350,Don't know,5,4,Strongly agree,No,Low
R03351,Don't know,1,3,Agree,Unsure,Moderate
R03352,Yes - informal,4,3,Strongly agree,Yes,High
R03353,No,4,3,Agree,Unsure,Moderate
R03354,No,3,5,Strongly disagree,No,Moderate
R03355,Yes - informal,4,4,Neutral,No,Low
R03356,Yes - informal,3,4,Agree,Yes,Moderate
R03357,No,5,4,Disagree,No,Very low
R03358,No,4,5,Agree,Yes,Low
R03359,Yes - informal,4,5,Disagree,No,Very low
R03360,Yes - informal,3,5,Neutral,No,Very low
R03361,No,5,3,Agree,No,Low
R03362,Yes - informal,4,4,Disagree,No,Moderate
R03363,No,1,4,Strongly disagree,No,Very low
R03364,Yes - informal,4,3,Agree,Unsure,Moderate
R03365,Yes - formal,2,4,Agree,No,Low
R03366,Don't know,4,3,Strongly disagree,Unsure,High
R03367,No,2,2,Neutral,No,Moderate
R03368,Yes - informal,3,4,Disagree,Unsure,High
R03369,Yes - formal,2,5,Agree,No,Moderate
R03370,No,1,4,Neutral,No,Low
R03371,Don't know,3,4,Neutral,Unsure,Very low
R03372,Yes - formal,4,4,Neutral,No,Moderate
R03373,No,4,3,Neutral,No,Low
R03374,Yes - informal,4,2,Strongly disagree,No,Low
R03375,No,5,3,Strongly agree,No,Moderate
R03376,No,4,5,Strongly agree,Yes,Moderate
R03377,Yes - informal,3,3,Agree,Yes,Moderate
R03378,No,5,4,Agree,No,Low
R03379,Don't know,3,3,Agree,No,Low
R03380,Yes - formal,4,3,Agree,Unsure,Low
R03381,No,3,2,Agree,No,Moderate
R03382,No,3,4,Neutral,Yes,High
R03383,Don't know,5,4,Disagree,No,Moderate
R03384,No,3,4,Agree,Yes,Low
R03385,Don't know,4,3,Strongly agree,Unsure,Low
R03386,Yes - formal,5,5,Strongly disagree,No,Moderate
R03387,No,4,4,Agree,No,High
R03388,Yes - formal,5,5,Strongly agree,No,Moderate
R03389,Yes - informal,3,4,Neutral,No,Low
R03390,Yes - informal,4,4,Strongly disagree,No,Moderate
R03391,No,4,5,Disagree,Unsure,Moderate
R03392,Yes - formal,4,3,Disagree,Unsure,Low
R03393,Don't know,2,4,Strongly agree,No,Moderate
R03394,Yes - informal,3,4,Strongly agree,Unsure,Moderate
R03395,Don't know,3,4,Strongly disagree,No,Very low
R03396,No,2,4,Strongly agree,Yes,Very low
R03397,Don't know,3,4,Agree,No,High
R03398,No,5,5,Agree,Yes,Moderate
R03399,Yes - informal,3,4,Strongly disagree,No,High
R03400,Yes - informal,5,3,Disagree,Unsure,Low
R03401,Yes - informal,3,3,Disagree,No,High
R03402,No,2,3,Agree,Unsure,Very low
R03403,No,5,5,Strongly agree,No,Low
R03404,Yes - informal,5,2,Strongly disagree,No,High
R03405,Yes - informal,3,3,Strongly disagree,No,Very low
R03406,Yes - informal,3,5,Agree,No,High
R03407,Don't know,3,4,Agree,Yes,High
R03408,No,4,5,Strongly agree,No,High
R03409,Yes - formal,5,4,Neutral,Unsure,Moderate
R03410,Yes - informal,4,5,Agree,No,Moderate
R03411,Yes - informal,5,5,Agree,Unsure,Moderate
R03412,Yes - formal,2,4,Strongly disagree,Yes,Low
R03413,Yes - formal,4,3,Agree,Unsure,Low
R03414,No,2,5,Agree,No,Low
R03415,Yes - formal,3,4,Strongly agree,Yes,Low
R03416,Yes - informal,2,3,Agree,No,Moderate
R03417,No,3,5,Agree,Unsure,High
R03418,Yes - formal,3,2,Strongly agree,No,Low
R03419,Yes - informal,4,1,Agree,Unsure,High
R03420,Don't know,1,3,Strongly disagree,Yes,High
R03421,Don't know,4,4,Neutral,No,Moderate
R03422,Yes - formal,4,3,Neutral,Yes,High
R03423,Yes - formal,5,3,Disagree,No,Very low
R03424,No,4,2,Neutral,No,Low
R03425,No,4,5,Strongly agree,Yes,High
R03426,Yes - formal,3,4,Strongly disagree,No,Low
R03427,Don't know,4,4,Agree,No,Moderate
R03428,Yes - formal,4,4,Neutral,No,Very low
R03429,Yes - formal,3,5,Strongly agree,No,Very low
R03430,Don't know,3,4,Strongly agree,No,Low
R03431,Don't know,3,4,Strongly agree,No,Very low
R03432,Don't know,4,5,Agree,No,High
R03433,Yes - informal,4,3,Strongly disagree,Unsure,Moderate
R03434,No,2,4,Strongly agree,Yes,Moderate
R03435,No,4,4,Agree,Unsure,Moderate
R03436,No,5,3,Strongly agree,Unsure,Moderate
R03437,No,4,3,Neutral,No,Moderate
R03438,Don't know,5,5,Agree,Yes,Moderate
R03439,No,4,5,Disagree,Yes,Moderate
R03440,No,4,3,Strongly disagree,No,Low
R03441,No,3,5,Agree,No,Low
R03442,No,5,2,Strongly agree,No,Low
R03443,No,4,4,Agree,No,High
R03444,Yes - formal,4,5,Disagree,No,Very low
R03445,No,4,5,Strongly agree,No,Moderate
R03446,Yes - informal,2,3,Agree,Yes,High
R03447,Don't know,3,4,Agree,Unsure,Very low
R03448,Don't know,4,4,Agree,No,High
R03449,No,2,4,Disagree,No,High
R03450,Yes - formal,5,5,Neutral,No,Low
R03451,No,4,4,Agree,Unsure,High
R03452,Don't know,2,2,Neutral,Unsure,Moderate
R03453,Don't know,4,5,Neutral,No,Low
R03454,No,4,3,Agree,Yes,Low
R03455,No,3,4,Agree,Unsure,Moderate
R03456,No,3,5,Strongly agree,Unsure,High
R03457,Don't know,5,4,Strongly agree,Yes,Moderate
R03458,No,4,4,Strongly agree,Unsure,Moderate
R03459,Yes - formal,5,5,Strongly agree,No,Moderate
R03460,Yes - formal,4,4,Neutral,No,High
R03461,Yes - formal,5,5,Neutral,No,Moderate
R03462,No,2,4,Agree,No,High
R03463,Don't know,4,5,Agree,No,Very low
R03464,No,5,5,Neutral,No,High
R03465,Yes - formal,2,5,Neutral,Unsure,Low
R03466,No,3,5,Neutral,No,Low
R03467,Yes - informal,3,4,Agree,No,Moderate
R03468,No,5,2,Strongly agree,No,Low
R03469,Yes - informal,1,4,Neutral,Unsure,Low
R03470,Yes - informal,3,5,Strongly agree,No,Moderate
R03471,Yes - informal,3,3,Disagree,No,High
R03472,No,4,4,Strongly agree,No,Moderate
R03473,Yes - formal,3,3,Agree,Unsure,Very low
R03474,No,3,3,Strongly agree,Unsure,Moderate
R03475,No,1,3,Strongly disagree,No,Low
R03476,No,2,4,Strongly disagree,Unsure,Very low
R03477,Don't know,4,5,Neutral,Yes,Very low
R03478,Don't know,5,3,Neutral,Unsure,Very low
R03479,Yes - formal,1,4,Neutral,No,Low
R03480,No,3,5,Neutral,No,Moderate
R03481,No,3,4,Neutral,No,High
R03482,Don't know,3,2,Agree,Unsure,High
R03483,Yes - informal,5,3,Agree,Unsure,Low
R03484,No,3,5,Strongly agree,No,Moderate
R03485,Yes - formal,4,3,Neutral,No,Moderate
R03486,Yes - formal,5,5,Strongly agree,Unsure,Low
R03487,No,4,5,Strongly disagree,No,High
R03488,Yes - formal,5,2,Agree,No,Low
R03489,Yes - formal,3,5,Strongly disagree,No,Moderate
R03490,Don't know,4,5,Strongly agree,No,Moderate
R03491,Yes - formal,4,5,Neutral,No,Low
R03492,Don't know,4,3,Agree,Unsure,Moderate
R03493,Don't know,5,5,Agree,Unsure,Low
R03494,Don't know,3,1,Strongly agree,Unsure,High
R03495,Yes - formal,5,3,Agree,No,Low
R03496,Yes - informal,4,5,Strongly agree,No,Moderate
R03497,No,4,4,Agree,No,Low
R03498,Yes - informal,5,5,Strongly agree,No,Low
R03499,Yes - informal,3,4,Strongly agree,No,High
R03500,Don't know,4,4,Strongly agree,Unsure,Moderate
R03501,Yes - formal,3,1,Disagree,Unsure,Moderate
R03502,No,2,4,Agree,No,Low
R03503,Don't know,3,3,Strongly disagree,Unsure,High
R03504,No,5,3,Agree,Unsure,Low
R03505,Yes - formal,2,5,Agree,Yes,Very low
R03506,Yes - informal,5,4,Strongly disagree,No,Moderate
R03507,No,4,2,Neutral,No,Moderate
R03508,Yes - informal,4,2,Neutral,No,Moderate
R03509,Don't know,2,4,Strongly agree,No,Very low
R03510,No,5,1,Neutral,No,Low
R03511,No,4,5,Agree,Unsure,Low
R03512,No,4,4,Agree,No,Moderate
R03513,No,2,5,Agree,Yes,Moderate
R03514,Don't know,3,3,Agree,No,High
R03515,Don't know,3,5,Disagree,No,Moderate
R03516,No,3,4,Neutral,No,Very low
R03517,No,2,3,Neutral,No,Moderate
R03518,Yes - informal,4,4,Neutral,No,High
R03519,Yes - formal,2,4,Strongly agree,Yes,High
R03520,Yes - informal,4,4,Agree,No,Moderate
R03521,Don't know,4,5,Strongly agree,No,Very low
R03522,Yes - informal,5,4,Agree,No,Low
R03523,Yes - formal,4,5,Strongly disagree,Yes,Moderate
R03524,Yes - formal,1,5,Strongly disagree,No,Moderate
R03525,No,1,5,Agree,No,Moderate
R03526,Don't know,5,3,Strongly agree,No,Low
R03527,Don't know,3,4,Agree,Yes,Low
R03528,Yes - informal,4,4,Strongly agree,No,Moderate
R03529,Yes - informal,5,4,Agree,Yes,Moderate
R03530,Don't know,3,4,Agree,No,Low
R03531,Yes - informal,3,4,Strongly disagree,Yes,Low
R03532,Yes - formal,5,2,Agree,No,Moderate
R03533,Don't know,3,5,Agree,No,Low
R03534,No,3,5,Agree,No,Low
R03535,Yes - informal,5,4,Strongly agree,Unsure,Moderate
R03536,Yes - formal,4,5,Neutral,Yes,Low
R03537,Yes - formal,2,1,Neutral,No,Moderate
R03538,No,4,5,Strongly agree,No,Moderate
R03539,Don't know,4,1,Agree,No,Moderate
R03540,Don't know,1,5,Disagree,No,Very low
R03541,Don't know,4,1,Agree,No,High
R03542,No,1,3,Neutral,No,High
R03543,Yes - informal,3,4,Disagree,No,Moderate
R03544,Yes - informal,1,4,Neutral,No,Low
R03545,Don't know,4,4,Neutral,Yes,High
R03546,Yes - informal,5,4,Disagree,Unsure,Moderate
R03547,Don't know,4,4,Agree,No,High
R03548,Yes - informal,2,2,Agree,Unsure,Moderate
R03549,Yes - formal,3,2,Neutral,No,High
R03550,No,2,5,Agree,No,Moderate
R03551,Yes - informal,5,3,Agree,Unsure,Low
R03552,No,3,4,Strongly agree,No,Moderate
R03553,No,3,2,Strongly agree,No,Low
R03554,Yes - informal,3,2,Strongly disagree,No,Moderate
R03555,Yes - formal,5,4,Agree,No,High
R03556,No,3,4,Strongly disagree,No,Moderate
R03557,Yes - formal,4,2,Neutral,No,High
R03558,No,4,4,Neutral,No,Moderate
R03559,No,3,5,Strongly agree,No,Low
R03560,Yes - informal,4,4,Strongly agree,No,Moderate
R03561,Don't know,3,5,Neutral,No,Very low
R03562,Yes - formal,2,3,Neutral,Unsure,High
R03563,Yes - formal,4,3,Neutral,No,High
R03564,Yes - formal,4,4,Agree,Yes,High
R03565,Yes - informal,4,3,Strongly disagree,Unsure,Low
R03566,Don't know,5,4,Neutral,Unsure,Moderate
R03567,No,3,4,Disagree,No,High
R03568,No,5,4,Neutral,No,Low
R03569,Yes - formal,3,4,Strongly agree,No,High
R03570,No,4,5,Agree,No,Moderate
R03571,Yes - informal,3,5,Neutral,No,Moderate
R03572,Don't know,5,2,Strongly agree,Unsure,Low
R03573,No,4,5,Strongly agree,No,Moderate
R03574,Yes - informal,1,4,Strongly disagree,No,High
R03575,No,5,4,Agree,No,High
R03576,Don't know,5,5,Disagree,No,Low
R03577,Don't know,2,5,Disagree,No,Moderate
R03578,Don't know,4,2,Agree,No,Moderate
R03579,Don't know,5,1,Strongly agree,No,Moderate
R03580,Don't know,3,3,Disagree,No,Low
R03581,No,3,4,Agree,No,Low
R03582,No,2,3,Neutral,Yes,Low
R03583,Yes - formal,5,5,Agree,No,Moderate
R03584,Yes - formal,5,5,Strongly agree,No,Low
R03585,Don't know,5,3,Agree,No,Moderate
R03586,Yes - informal,2,5,Neutral,Unsure,High
R03587,Don't know,3,4,Neutral,Yes,Low
R03588,Yes - formal,5,2,Agree,Unsure,Moderate
R03589,Yes - informal,3,4,Disagree,No,Moderate
R03590,No,2,3,Neutral,Unsure,Low
R03591,Yes - informal,5,4,Neutral,No,Low
R03592,Yes - formal,4,2,Agree,Unsure,Moderate
R03593,Yes - formal,3,3,Agree,Unsure,Low
R03594,Don't know,5,4,Strongly agree,Unsure,High
R03595,No,4,2,Agree,No,Moderate
R03596,No,5,2,Strongly agree,No,Low
R03597,Yes - formal,5,3,Strongly agree,Yes,Moderate
R03598,No,4,3,Disagree,No,Low
R03599,No,5,5,Strongly disagree,Unsure,Low
R03600,Yes - formal,4,5,Strongly disagree,No,Low
R03601,Don't know,3,5,Strongly agree,Unsure,Very low
R03602,Yes - informal,3,5,Strongly agree,No,Moderate
R03603,Yes - informal,5,5,Strongly disagree,No,Moderate
R03604,No,2,5,Agree,No,Low
R03605,No,3,5,Agree,Unsure,Moderate
R03606,Yes - informal,4,4,Agree,No,High
R03607,Yes - informal,5,2,Neutral,Unsure,Low
R03608,No,1,3,Strongly agree,Unsure,Low
R03609,Yes - informal,4,4,Strongly agree,No,Very low
R03610,Don't know,3,3,Strongly agree,Unsure,Low
R03611,No,4,4,Disagree,No,Moderate
R03612,No,3,4,Strongly disagree,No,Moderate
R03613,Yes - formal,5,1,Agree,Unsure,Low
R03614,Don't know,5,5,Agree,No,Moderate
R03615,No,3,5,Neutral,Unsure,Low
R03616,No,3,4,Disagree,No,High
R03617,No,4,5,Agree,Unsure,Moderate
R03618,Yes - formal,5,3,Strongly agree,No,Low
R03619,No,4,5,Neutral,Unsure,Low
R03620,Don't know,4,3,Neutral,Unsure,High
R03621,Don't know,2,3,Strongly agree,No,Low
R03622,Yes - formal,5,2,Agree,Yes,Low
R03623,Yes - informal,4,2,Agree,Unsure,Moderate
R03624,Yes - informal,5,3,Agree,No,Moderate
R03625,Yes - informal,4,5,Neutral,No,Low
R03626,Yes - informal,5,5,Strongly disagree,No,Very low
R03627,Yes - informal,2,1,Strongly disagree,Unsure,Low
R03628,Yes - formal,4,3,Agree,No,High
R03629,Yes - formal,4,2,Agree,No,Moderate
R03630,Yes - formal,3,3,Strongly agree,Unsure,Low
R03631,No,4,4,Strongly agree,No,Moderate
R03632,Don't know,3,5,Agree,No,Low
R03633,Yes - informal,3,4,Agree,No,Low
R03634,Don't know,3,5,Neutral,No,Low
R03635,No,5,4,Agree,No,Moderate
R03636,Yes - formal,1,5,Strongly agree,Yes,Low
R03637,No,2,4,Strongly agree,Unsure,Moderate
R03638,No,3,3,Agree,No,Moderate
R03639,Yes - formal,5,5,Agree,Yes,Low
R03640,No,4,4,Strongly agree,Unsure,Very low
R03641,Yes - informal,3,4,Agree,No,High
R03642,No,4,3,Neutral,No,Moderate
R03643,No,1,4,Strongly agree,No,High
R03644,Yes - informal,4,3,Neutral,No,Moderate
R03645,Yes - informal,4,3,Strongly agree,Unsure,Moderate
R03646,Don't know,4,5,Agree,Yes,Very low
R03647,Yes - formal,3,2,Neutral,No,Moderate
R03648,No,3,4,Strongly disagree,Unsure,Low
R03649,Yes - formal,5,4,Agree,Unsure,Low
R03650,Yes - formal,5,5,Strongly agree,No,Very low
R03651,No,1,4,Disagree,Unsure,Low
R03652,No,3,5,Neutral,Unsure,Low
R03653,No,4,2,Neutral,No,High
R03654,Yes - formal,3,3,Strongly agree,No,High
R03655,No,4,4,Strongly agree,Unsure,Moderate
R03656,Yes - informal,4,4,Strongly agree,No,Moderate
R03657,No,3,5,Disagree,No,Low
R03658,Yes - informal,4,4,Strongly disagree,Unsure,Very low
R03659,Yes - formal,2,4,Neutral,No,High
R03660,Don't know,4,4,Strongly agree,Unsure,Low
R03661,Don't know,4,5,Disagree,Yes,Moderate
R03662,Yes - formal,5,3,Agree,No,Very low
R03663,Yes - formal,2,3,Agree,No,Low
R03664,No,4,5,Agree,No,Very low
R03665,No,3,2,Strongly disagree,No,Low
R03666,Yes - informal,5,5,Neutral,No,Moderate
R03667,No,3,4,Strongly agree,Yes,Moderate
R03668,No,1,5,Disagree,No,High
R03669,Yes - informal,4,3,Neutral,No,Moderate
R03670,No,4,5,Strongly agree,Unsure,Moderate
R03671,Yes - formal,5,4,Neutral,No,Low
R03672,Yes - informal,5,5,Disagree,Unsure,Low
R03673,Yes - informal,2,3,Agree,No,High
R03674,Yes - formal,4,5,Disagree,No,Very low
R03675,Yes - informal,2,4,Agree,No,Low
R03676,Don't know,4,3,Neutral,No,High
R03677,Don't know,4,5,Strongly agree,No,Very low
R03678,No,5,5,Strongly disagree,No,Moderate
R03679,No,4,3,Agree,No,Low
R03680,No,4,3,Strongly agree,Unsure,High
R03681,Don't know,4,4,Strongly agree,No,Moderate
R03682,Yes - informal,4,3,Strongly agree,Unsure,Moderate
R03683,Don't know,5,3,Disagree,Yes,Low
R03684,Yes - formal,5,5,Strongly agree,Yes,Very low
R03685,Yes - formal,3,3,Agree,Unsure,High
R03686,Don't know,4,3,Agree,No,Low
R03687,No,5,4,Neutral,No,Very low
R03688,Don't know,4,4,Disagree,No,Moderate
R03689,No,4,4,Agree,Unsure,High
R03690,Yes - formal,1,3,Agree,No,Very low
R03691,No,4,1,Strongly disagree,No,Low
R03692,Yes - formal,4,2,Neutral,No,Low
R03693,Yes - informal,1,5,Neutral,No,Moderate
R03694,Yes - formal,4,4,Disagree,Unsure,Moderate
R03695,Yes - formal,4,3,Agree,No,Moderate
R03696,No,4,4,Neutral,No,Low
R03697,Don't know,2,3,Agree,No,Moderate
R03698,No,5,5,Strongly agree,Unsure,Moderate
R03699,Yes - informal,4,5,Neutral,Yes,High
R03700,Don't know,3,5,Agree,No,Moderate
R03701,No,4,4,Neutral,Yes,Low
R03702,Don't know,4,3,Neutral,Yes,Moderate
R03703,No,5,3,Strongly disagree,No,High
R03704,Don't know,2,5,Agree,Unsure,Low
R03705,No,5,4,Agree,No,Low
R03706,Yes - informal,4,3,Agree,No,Moderate
R03707,Yes - formal,4,5,Disagree,No,High
R03708,Yes - formal,2,5,Agree,No,High
R03709,Don't know,2,5,Agree,Yes,Moderate
R03710,Yes - formal,4,3,Neutral,Unsure,Low
R03711,Yes - informal,4,4,Strongly agree,Unsure,High
R03712,Yes - formal,3,4,Neutral,No,Moderate
R03713,No,3,5,Agree,Unsure,Low
R03714,Yes - formal,4,4,Strongly agree,Unsure,Very low
R03715,No,3,4,Neutral,No,Moderate
R03716,Yes - formal,2,4,Strongly disagree,No,Low
R03717,No,3,5,Disagree,No,Low
R03718,Don't know,4,4,Strongly agree,No,Low
R03719,No,1,1,Agree,No,Moderate
R03720,No,5,3,Neutral,Unsure,Low
R03721,Yes - formal,4,4,Neutral,No,Low
R03722,Yes - informal,5,5,Agree,No,Moderate
R03723,No,1,2,Strongly agree,Unsure,Low
R03724,Don't know,3,2,Disagree,Unsure,Moderate
R03725,Yes - formal,4,4,Agree,Unsure,Moderate
R03726,No,4,3,Strongly agree,No,Moderate
R03727,Yes - informal,5,3,Agree,No,High
R03728,Yes - informal,1,4,Neutral,No,Low
R03729,No,5,5,Agree,No,Moderate
R03730,Yes - informal,4,3,Agree,No,Moderate
R03731,Yes - formal,1,5,Neutral,No,Moderate
R03732,No,2,3,Neutral,No,Moderate
R03733,Yes - formal,3,5,Neutral,Unsure,Moderate
R03734,Yes - formal,4,5,Strongly agree,Yes,Moderate
R03735,Yes - formal,4,4,Disagree,Unsure,Low
R03736,Yes - informal,3,5,Neutral,No,High
R03737,Yes - formal,4,4,Neutral,No,Moderate
R03738,Yes - formal,4,3,Agree,No,Moderate
R03739,No,4,4,Strongly disagree,Unsure,Moderate
R03740,No,3,3,Agree,No,Moderate
R03741,Don't know,3,4,Strongly agree,Unsure,Moderate
R03742,Don't know,2,3,Disagree,No,Low
R03743,Don't know,3,4,Neutral,No,Moderate
R03744,Yes - informal,4,4,Neutral,No,High
R03745,No,4,3,Agree,No,Moderate
R03746,Don't know,4,4,Agree,No,Moderate
R03747,Yes - informal,5,4,Strongly disagree,No,Moderate
R03748,No,5,4,Agree,No,Moderate
R03749,Don't know,5,3,Agree,No,High
R03750,No,4,4,Agree,Unsure,Low
R03751,No,3,4,Neutral,No,Moderate
R03752,Don't know,2,4,Strongly agree,Yes,Low
R03753,No,2,4,Strongly agree,Unsure,Moderate
R03754,Yes - formal,2,5,Agree,Yes,Moderate
R03755,No,3,4,Strongly agree,No,Low
R03756,Yes - formal,5,2,Strongly disagree,Unsure,Low
R03757,Yes - formal,5,5,Agree,Unsure,Moderate
R03758,Yes - informal,3,4,Strongly disagree,Unsure,Very low
R03759,Yes - formal,3,4,Strongly agree,Unsure,Moderate
R03760,Don't know,3,4,Agree,No,Very low
R03761,Yes - informal,4,5,Strongly agree,Unsure,Moderate
R03762,Yes - formal,2,2,Agree,Yes,Moderate
R03763,Yes - formal,2,4,Agree,Unsure,Low
R03764,Yes - informal,5,4,Neutral,No,Very low
R03765,Yes - formal,5,4,Agree,Unsure,Moderate
R03766,Yes - formal,1,5,Agree,Unsure,Moderate
R03767,Yes - informal,5,2,Strongly agree,Yes,Moderate
R03768,Yes - informal,4,5,Neutral,Unsure,High
R03769,Yes - informal,5,5,Strongly disagree,Yes,Moderate
R03770,Yes - formal,3,5,Strongly agree,Unsure,Low
R03771,Yes - informal,4,3,Neutral,No,Low
R03772,Don't know,4,4,Strongly agree,Unsure,Low
R03773,Don't know,5,4,Agree,Unsure,Low
R03774,Yes - formal,3,4,Strongly agree,Unsure,Very low
R03775,Yes - informal,5,5,Strongly disagree,No,Low
R03776,Don't know,5,4,Agree,Yes,High
R03777,Yes - informal,4,4,Neutral,No,Moderate
R03778,Yes - informal,4,4,Agree,No,Low
R03779,Don't know,3,4,Neutral,Yes,Moderate
R03780,Yes - formal,3,1,Neutral,No,Moderate
R03781,Yes - informal,2,5,Agree,Unsure,Very low
R03782,No,5,3,Neutral,No,Very low
R03783,Yes - formal,5,4,Strongly disagree,Unsure,High
R03784,No,4,4,Neutral,Unsure,Moderate
R03785,Yes - formal,5,3,Strongly disagree,Unsure,Low
R03786,Don't know,4,4,Agree,No,Very low
R03787,Don't know,5,2,Agree,Unsure,Low
R03788,No,3,1,Strongly agree,Yes,High
R03789,No,3,4,Agree,No,Low
R03790,No,4,5,Strongly disagree,No,Moderate
R03791,Yes - informal,4,4,Agree,No,Moderate
R03792,Don't know,5,5,Neutral,Unsure,Moderate
R03793,Yes - formal,4,5,Disagree,Yes,Very low
R03794,Yes - informal,3,5,Agree,No,Low
R03795,Don't know,3,5,Strongly agree,No,Low
R03796,Yes - informal,3,5,Disagree,No,Low
R03797,Yes - informal,5,3,Strongly agree,No,Moderate
R03798,Yes - formal,4,5,Neutral,No,Low
R03799,Yes - informal,3,4,Disagree,No,Moderate
R03800,No,3,2,Neutral,No,Moderate
R03801,Yes - informal,3,5,Disagree,Yes,Low
R03802,Yes - formal,4,3,Neutral,Unsure,Moderate
R03803,No,3,5,Agree,No,Low
R03804,Yes - informal,4,4,Neutral,Unsure,Low
R03805,Yes - informal,4,5,Agree,No,Moderate
R03806,No,5,4,Strongly agree,No,Moderate
R03807,No,5,5,Neutral,Unsure,Moderate
R03808,Don't know,3,5,Neutral,Unsure,Very low
R03809,Yes - formal,3,3,Strongly agree,Unsure,Moderate
R03810,Don't know,5,2,Neutral,No,Low
R03811,Yes - informal,3,5,Agree,No,Moderate
R03812,Yes - informal,2,5,Strongly disagree,Unsure,Moderate
R03813,Yes - informal,4,5,Neutral,No,High
R03814,No,4,3,Neutral,No,Low
R03815,Yes - formal,4,5,Disagree,Unsure,Moderate
