respondent_id,skills,num_skills,top_certification,weekly_learning_hours,primary_learning_platform,learned_genai_skills_2024_2026,employer_provides_ai_training
R02588,Graph Neural Networks; RAG Pipelines; GCP; TensorFlow; LangChain; AWS; R; Data Visualization; Reinforcement Learning,9,DeepLearning.AI Specialization,7,DeepLearning.AI,Yes,Yes
R02589,Statistics; Time Series Analysis; SQL; Spark; Fine-tuning LLMs; Graph Neural Networks; Prompt Engineering,7,Coursera ML Certificate,7,Self-study (books/papers),Yes,No
R02590,Feature Engineering; PyTorch; Data Visualization; Graph Neural Networks; SQL,5,AWS ML Specialty,8,Fast.ai,No,No
R02591,Transformers; Kubernetes; Azure; SQL; TensorFlow; Time Series Analysis; AWS; Data Visualization; Python; Pandas; Edge AI / TinyML; GCP,12,Coursera ML Certificate,3,LinkedIn Learning,No,No
R02592,Azure; Fine-tuning LLMs; Generative AI; Transformers; Kubernetes; Statistics,6,TensorFlow Developer Certificate,7,LinkedIn Learning,No,Partially
R02593,Edge AI / TinyML; NLP; LangChain; Azure; Transformers; Fine-tuning LLMs; TensorFlow; Kubernetes; SQL,9,Kaggle Competitions Expert,9,Udemy,Yes,Yes
R02594,Edge AI / TinyML; R; Azure; Feature Engineering; Python; Fine-tuning LLMs; NLP; Pandas; Graph Neural Networks; LangChain; PyTorch,11,,6,Udemy,Yes,Partially
R02595,AWS; Data Visualization; Edge AI / TinyML; Azure; Computer Vision,5,DeepLearning.AI Specialization,2,Udemy,No,Yes
R02596,Pandas; PyTorch; Python; GCP; AWS; Kubernetes; Generative AI; Data Visualization,8,Coursera ML Certificate,7,Company training,No,Partially
R02597,RAG Pipelines; Graph Neural Networks; PyTorch; GCP; TensorFlow; Transformers; Azure; Data Visualization; SQL; AWS; Fine-tuning LLMs; Statistics,12,Kaggle Competitions Expert,12,DeepLearning.AI,Yes,No
R02598,Spark; Kubernetes; PyTorch; SQL; Fine-tuning LLMs; MLOps; Data Visualization,7,,4,LinkedIn Learning,Yes,No
R02599,Docker; A/B Testing; RAG Pipelines; Statistics; Pandas,5,,14,Self-study (books/papers),Yes,Partially
R02600,Data Visualization; NLP; PyTorch; Graph Neural Networks; Feature Engineering; Kubernetes; MLOps; Spark,8,,2,Company training,Yes,Yes
R02601,R; Data Visualization; AWS; PyTorch; Transformers,5,Coursera ML Certificate,4,YouTube,Yes,Yes
R02602,Edge AI / TinyML; R; Python,3,TensorFlow Developer Certificate,9,Self-study (books/papers),No,Yes
R02603,AWS; TensorFlow; Reinforcement Learning; NLP; Azure; Docker; Kubernetes; A/B Testing; LangChain,9,Google Professional ML Engineer,3,LinkedIn Learning,Yes,Partially
R02604,Pandas; SQL; Reinforcement Learning; AWS; RAG Pipelines; TensorFlow,6,,4,edX,Yes,Partially
R02605,Kubernetes; Time Series Analysis; NLP; Graph Neural Networks; Computer Vision; Data Visualization; Python; Spark; TensorFlow; LangChain,10,AWS ML Specialty,10,University courses,Yes,Partially
R02606,Computer Vision; Scikit-learn; LangChain; Reinforcement Learning; Docker; Python; AWS; TensorFlow; SQL; Fine-tuning LLMs; MLOps; GCP,12,Coursera ML Certificate,14,LinkedIn Learning,Yes,No
R02607,GCP; Fine-tuning LLMs; Spark; Prompt Engineering,4,AWS ML Specialty,9,LinkedIn Learning,No,Yes
R02608,Time Series Analysis; Pandas; TensorFlow; Computer Vision; Feature Engineering; Reinforcement Learning; AWS; Graph Neural Networks; GCP; Transformers,10,TensorFlow Developer Certificate,18,Udemy,Yes,Partially
R02609,Edge AI / TinyML; Transformers; Prompt Engineering; A/B Testing; Scikit-learn; Azure; RAG Pipelines; GCP; TensorFlow,9,,0,Company training,Yes,No
R02610,Feature Engineering; TensorFlow; Edge AI / TinyML; Data Visualization; PyTorch; Time Series Analysis; A/B Testing; Azure,8,DeepLearning.AI Specialization,13,University courses,Yes,No
R02611,R; NLP; SQL; LangChain; Prompt Engineering; PyTorch; Generative AI; Computer Vision,8,Google Professional ML Engineer,9,Udemy,Yes,Yes
R02612,Spark; GCP; Statistics; Scikit-learn; Data Visualization; Generative AI; Python; LangChain; A/B Testing; Azure,10,DeepLearning.AI Specialization,3,Udemy,No,No
R02613,Generative AI; A/B Testing; Kubernetes; Data Visualization,4,Kaggle Competitions Expert,5,Coursera,No,Yes
R02614,A/B Testing; Kubernetes; R; AWS; PyTorch; Docker; RAG Pipelines; Data Visualization,8,TensorFlow Developer Certificate,6,Udemy,Yes,Yes
R02615,GCP; Edge AI / TinyML; Graph Neural Networks; Feature Engineering; Statistics; RAG Pipelines; TensorFlow; AWS; Docker; Fine-tuning LLMs,10,,11,YouTube,Yes,Yes
R02616,SQL; Scikit-learn; Prompt Engineering; RAG Pipelines; Spark; Feature Engineering,6,,14,Coursera,Yes,No
R02617,SQL; PyTorch; Generative AI; Transformers; MLOps; A/B Testing; R,7,,12,Udemy,Yes,Yes
R02618,TensorFlow; RAG Pipelines; Pandas,3,Google Professional ML Engineer,0,Udemy,Yes,No
R02619,Edge AI / TinyML; RAG Pipelines; Transformers; Computer Vision; Scikit-learn; Prompt Engineering; NLP,7,,0,edX,Yes,Yes
R02620,Docker; Pandas; Edge AI / TinyML; LangChain; Kubernetes; Fine-tuning LLMs; PyTorch; MLOps; NLP,9,Azure AI Engineer,3,edX,Yes,Partially
R02621,Kubernetes; Fine-tuning LLMs; A/B Testing; Computer Vision; RAG Pipelines; Docker,6,AWS ML Specialty,4,Udemy,Yes,Partially
R02622,Scikit-learn; Time Series Analysis; Azure; Pandas; Edge AI / TinyML; Spark; Fine-tuning LLMs; MLOps,8,DeepLearning.AI Specialization,4,Pluralsight,Yes,Partially
R02623,Prompt Engineering; RAG Pipelines; Docker; Feature Engineering; Computer Vision; Generative AI; Data Visualization,7,Kaggle Competitions Expert,6,DeepLearning.AI,No,Partially
R02624,Feature Engineering; LangChain; NLP; RAG Pipelines,4,,0,YouTube,Yes,Partially
R02625,Reinforcement Learning; PyTorch; Docker; Scikit-learn; SQL; Edge AI / TinyML; Time Series Analysis; Spark; R; Fine-tuning LLMs,10,Kaggle Competitions Expert,8,Fast.ai,No,No
R02626,Pandas; Graph Neural Networks; Scikit-learn; Spark,4,DeepLearning.AI Specialization,0,Coursera,Yes,Partially
R02627,Python; Statistics; Fine-tuning LLMs; Generative AI; Edge AI / TinyML; Azure,6,Azure AI Engineer,6,Self-study (books/papers),Yes,No
R02628,Pandas; Data Visualization; SQL; LangChain; Spark; RAG Pipelines; Computer Vision; Python; GCP; Kubernetes; PyTorch; Time Series Analysis,12,DeepLearning.AI Specialization,10,Pluralsight,No,No
R02629,Edge AI / TinyML; Spark; Docker; Azure; Fine-tuning LLMs; Data Visualization; A/B Testing,7,Azure AI Engineer,9,LinkedIn Learning,Yes,Yes
R02630,SQL; NLP; Python; PyTorch; R; Generative AI; A/B Testing; Feature Engineering,8,,4,University courses,Yes,Partially
R02631,Time Series Analysis; PyTorch; AWS; GCP; SQL; Pandas; Graph Neural Networks; Kubernetes; R,9,AWS ML Specialty,6,LinkedIn Learning,Yes,Partially
R02632,MLOps; GCP; Azure; Python; Feature Engineering; Docker; Generative AI,7,AWS ML Specialty,12,edX,Yes,Partially
R02633,PyTorch; SQL; Kubernetes; GCP; Python,5,Kaggle Competitions Expert,4,Fast.ai,No,Partially
R02634,A/B Testing; R; NLP; PyTorch; Feature Engineering; AWS; GCP; SQL; TensorFlow; RAG Pipelines; Docker; Generative AI; Statistics,13,Coursera ML Certificate,0,Pluralsight,Yes,Partially
R02635,PyTorch; Statistics; Pandas; GCP; SQL; LangChain,6,DeepLearning.AI Specialization,0,Coursera,No,Yes
R02636,LangChain; Prompt Engineering; Graph Neural Networks; Edge AI / TinyML; Time Series Analysis; Spark; Statistics; Transformers,8,TensorFlow Developer Certificate,1,Company training,No,Partially
R02637,PyTorch; SQL; Azure; Transformers; AWS; Docker; R; Statistics; Python; Reinforcement Learning; TensorFlow; Feature Engineering,12,,6,LinkedIn Learning,Yes,Yes
R02638,GCP; Kubernetes; Data Visualization; Feature Engineering; Statistics; Transformers,6,DeepLearning.AI Specialization,11,Kaggle Learn,No,Partially
R02639,Graph Neural Networks; Computer Vision; Pandas; Data Visualization; GCP; Scikit-learn; Edge AI / TinyML; R; Generative AI,9,,3,Company training,Yes,No
R02640,MLOps; Spark; PyTorch; GCP,4,AWS ML Specialty,13,DeepLearning.AI,Yes,No
R02641,GCP; RAG Pipelines; NLP; A/B Testing; Time Series Analysis; Reinforcement Learning; MLOps; Statistics; Kubernetes; Graph Neural Networks,10,DeepLearning.AI Specialization,5,Udemy,Yes,Partially
R02642,Python; Data Visualization; Time Series Analysis; Graph Neural Networks; Generative AI; Azure; Reinforcement Learning,7,Coursera ML Certificate,4,Udemy,No,Partially
R02643,GCP; LangChain; Docker; Transformers; RAG Pipelines; TensorFlow,6,,16,DeepLearning.AI,No,Yes
R02644,TensorFlow; Generative AI; NLP; AWS; Scikit-learn; Computer Vision,6,Coursera ML Certificate,0,DeepLearning.AI,Yes,No
R02645,Graph Neural Networks; Azure; AWS,3,DeepLearning.AI Specialization,17,Pluralsight,Yes,No
R02646,RAG Pipelines; A/B Testing; Data Visualization; Transformers; Python,5,DeepLearning.AI Specialization,4,Pluralsight,No,No
R02647,NLP; PyTorch; R; Time Series Analysis; RAG Pipelines; Reinforcement Learning; Graph Neural Networks; Feature Engineering; GCP,9,,9,Company training,Yes,Partially
R02648,Generative AI; MLOps; AWS; PyTorch; A/B Testing; Fine-tuning LLMs; Docker; Time Series Analysis; Statistics; Edge AI / TinyML,10,Coursera ML Certificate,14,Fast.ai,Yes,No
R02649,TensorFlow; Feature Engineering; Docker; Computer Vision; Reinforcement Learning; Edge AI / TinyML; LangChain; Prompt Engineering; Pandas; Kubernetes; RAG Pipelines,11,DeepLearning.AI Specialization,9,University courses,No,No
R02650,Feature Engineering; Time Series Analysis; LangChain; Generative AI; Reinforcement Learning; Edge AI / TinyML,6,Azure AI Engineer,0,Coursera,Yes,Yes
R02651,AWS; PyTorch; Spark; MLOps; Edge AI / TinyML; RAG Pipelines; Prompt Engineering; Data Visualization; Graph Neural Networks; Feature Engineering,10,,4,Self-study (books/papers),Yes,Partially
R02652,Reinforcement Learning; Fine-tuning LLMs; Kubernetes; MLOps; PyTorch; Generative AI; AWS; Time Series Analysis,8,,6,Coursera,Yes,Yes
R02653,A/B Testing; Edge AI / TinyML; PyTorch; Spark; Pandas; AWS; TensorFlow; Computer Vision; SQL; Graph Neural Networks,10,,7,edX,No,No
R02654,Fine-tuning LLMs; PyTorch; R; MLOps; LangChain; NLP; Scikit-learn; Graph Neural Networks,8,Google Professional ML Engineer,0,Udemy,Yes,Yes
R02655,SQL; Time Series Analysis; Feature Engineering; Reinforcement Learning; Azure; PyTorch; Kubernetes; Data Visualization; Fine-tuning LLMs; Computer Vision; Spark; GCP,12,Kaggle Competitions Expert,20,Kaggle Learn,Yes,Yes
R02656,Generative AI; TensorFlow; Fine-tuning LLMs; Statistics; Docker; MLOps; PyTorch,7,Google Professional ML Engineer,10,DeepLearning.AI,Yes,No
R02657,Time Series Analysis; Pandas; R,3,Azure AI Engineer,0,YouTube,No,Yes
R02658,LangChain; GCP; Generative AI; Docker; Fine-tuning LLMs; RAG Pipelines,6,TensorFlow Developer Certificate,11,Pluralsight,Yes,Yes
R02659,Computer Vision; Data Visualization; Prompt Engineering; SQL; Fine-tuning LLMs; Kubernetes; NLP; Generative AI,8,Coursera ML Certificate,17,Kaggle Learn,Yes,Yes
R02660,Fine-tuning LLMs; GCP; Time Series Analysis; R; PyTorch; Prompt Engineering,6,DeepLearning.AI Specialization,4,University courses,Yes,No
R02661,RAG Pipelines; Prompt Engineering; Time Series Analysis,3,Azure AI Engineer,10,DeepLearning.AI,Yes,Partially
R02662,SQL; Feature Engineering; Spark; Scikit-learn; Data Visualization; R; Graph Neural Networks; Prompt Engineering; NLP; TensorFlow; Azure; Transformers,12,,3,YouTube,Yes,Yes
R02663,TensorFlow; Graph Neural Networks; Statistics; Azure; Transformers; R; Time Series Analysis; NLP,8,,6,Udemy,No,Yes
R02664,R; Docker; Feature Engineering; Reinforcement Learning; Spark; SQL; Generative AI; Azure,8,Google Professional ML Engineer,14,Coursera,Yes,No
R02665,AWS; Data Visualization; Fine-tuning LLMs; Transformers; GCP; Scikit-learn; Docker; Spark,8,,14,LinkedIn Learning,No,Yes
R02666,Prompt Engineering; Fine-tuning LLMs; Spark; Docker; Azure; PyTorch; Scikit-learn; Pandas; Reinforcement Learning; Kubernetes,10,,4,Coursera,Yes,Yes
R02667,AWS; Scikit-learn; Statistics; Feature Engineering; Pandas; A/B Testing; Python; R; Time Series Analysis; Docker; GCP; Reinforcement Learning; Azure; Kubernetes,14,Coursera ML Certificate,13,Company training,Yes,Yes
R02668,Generative AI; LangChain; Transformers; Statistics; TensorFlow; R; Data Visualization,7,AWS ML Specialty,13,edX,Yes,No
R02669,GCP; TensorFlow; Generative AI; Computer Vision; Data Visualization; Feature Engineering; Reinforcement Learning; PyTorch; AWS; Docker; Transformers; LangChain,12,,5,University courses,No,Partially
R02670,R; LangChain; Computer Vision; Pandas; Statistics; SQL; Time Series Analysis; Transformers; Feature Engineering; NLP; Spark; TensorFlow,12,TensorFlow Developer Certificate,6,LinkedIn Learning,No,No
R02671,Feature Engineering; Data Visualization; PyTorch; R; Python; Docker,6,,16,LinkedIn Learning,Yes,No
R02672,Prompt Engineering; LangChain; Docker; MLOps; Data Visualization; Spark; Kubernetes; TensorFlow,8,Kaggle Competitions Expert,10,Pluralsight,Yes,Yes
R02673,R; SQL; TensorFlow; Docker; Kubernetes,5,,12,Coursera,Yes,No
R02674,Feature Engineering; MLOps; SQL; Data Visualization; Computer Vision; PyTorch; Reinforcement Learning; Kubernetes; Graph Neural Networks,9,DeepLearning.AI Specialization,5,YouTube,Yes,Partially
R02675,Transformers; A/B Testing; Pandas; Generative AI; Scikit-learn; TensorFlow,6,DeepLearning.AI Specialization,5,Pluralsight,Yes,Yes
R02676,PyTorch; Kubernetes; Reinforcement Learning; RAG Pipelines; TensorFlow; Python; Feature Engineering,7,Coursera ML Certificate,0,Fast.ai,No,Partially
R02677,Data Visualization; Statistics; Scikit-learn; Time Series Analysis,4,,3,Self-study (books/papers),Yes,Partially
R02678,Kubernetes; MLOps; SQL; Transformers; Fine-tuning LLMs; TensorFlow; Edge AI / TinyML; LangChain; R; Computer Vision,10,Coursera ML Certificate,4,edX,Yes,No
R02679,Azure; Graph Neural Networks; SQL; Data Visualization; Time Series Analysis; NLP; Spark; Reinforcement Learning; Generative AI; PyTorch,10,Coursera ML Certificate,11,YouTube,Yes,Partially
R02680,Computer Vision; Prompt Engineering; MLOps; Time Series Analysis; Scikit-learn; Python; Generative AI,7,Google Professional ML Engineer,5,YouTube,No,No
R02681,AWS; Computer Vision; Docker; Statistics; NLP; TensorFlow,6,,2,Coursera,No,Yes
R02682,Docker; Python; LangChain; Prompt Engineering; Graph Neural Networks,5,AWS ML Specialty,11,University courses,Yes,Partially
R02683,TensorFlow; Kubernetes; PyTorch; AWS; Reinforcement Learning; Docker; MLOps; Transformers; Computer Vision,9,TensorFlow Developer Certificate,11,Udemy,Yes,Partially
R02684,SQL; LangChain; Reinforcement Learning; Scikit-learn; Pandas; TensorFlow; Transformers; AWS,8,,6,Udemy,No,Yes
R02685,Docker; Generative AI; LangChain; Pandas; Time Series Analysis; TensorFlow; Data Visualization,7,Kaggle Competitions Expert,10,Kaggle Learn,Yes,Yes
R02686,Transformers; Docker; Computer Vision; Statistics; Azure; Feature Engineering; Data Visualization,7,,4,Kaggle Learn,No,Yes
R02687,Scikit-learn; Computer Vision; A/B Testing; Edge AI / TinyML; PyTorch; Graph Neural Networks; TensorFlow; RAG Pipelines,8,,20,YouTube,Yes,Partially
R02688,Pandas; Generative AI; Spark; RAG Pipelines; Data Visualization; Prompt Engineering; Reinforcement Learning,7,Coursera ML Certificate,11,DeepLearning.AI,Yes,Yes
R02689,Scikit-learn; Azure; Edge AI / TinyML; NLP; Docker; PyTorch; Generative AI; Graph Neural Networks; Prompt Engineering,9,Kaggle Competitions Expert,13,LinkedIn Learning,Yes,Yes
R02690,A/B Testing; Time Series Analysis; Edge AI / TinyML; Azure; Fine-tuning LLMs; AWS; MLOps,7,DeepLearning.AI Specialization,10,Fast.ai,Yes,Yes
R02691,Generative AI; Python; Prompt Engineering; RAG Pipelines; Computer Vision; Graph Neural Networks; AWS,7,TensorFlow Developer Certificate,4,Fast.ai,Yes,Yes
R02692,Docker; A/B Testing; PyTorch; Statistics; Kubernetes; Data Visualization,6,Kaggle Competitions Expert,19,Pluralsight,No,Yes
R02693,Azure; Scikit-learn; RAG Pipelines; Feature Engineering; Computer Vision; Reinforcement Learning; Python; Data Visualization,8,Kaggle Competitions Expert,10,YouTube,No,No
R02694,Azure; PyTorch; Statistics,3,,10,Fast.ai,Yes,No
R02695,A/B Testing; Edge AI / TinyML; Statistics; Docker; Azure; Python; TensorFlow; Pandas; Data Visualization,9,TensorFlow Developer Certificate,4,University courses,Yes,No
R02696,GCP; Data Visualization; Pandas; Edge AI / TinyML; Time Series Analysis; Prompt Engineering; A/B Testing; Computer Vision,8,AWS ML Specialty,0,Fast.ai,Yes,No
R02697,Azure; A/B Testing; Statistics; PyTorch; Transformers; TensorFlow; Generative AI; Computer Vision; Docker,9,,5,LinkedIn Learning,No,No
R02698,Fine-tuning LLMs; MLOps; Generative AI; Feature Engineering; Edge AI / TinyML; LangChain; Graph Neural Networks; RAG Pipelines; SQL; Scikit-learn,10,Kaggle Competitions Expert,11,edX,Yes,No
R02699,Reinforcement Learning; NLP; Pandas; Computer Vision; Python; PyTorch; LangChain; Azure; Prompt Engineering,9,AWS ML Specialty,0,Company training,Yes,Partially
R02700,Computer Vision; A/B Testing; Azure; Statistics; Prompt Engineering; Pandas; Data Visualization; TensorFlow,8,TensorFlow Developer Certificate,6,Pluralsight,Yes,Partially
R02701,GCP; Data Visualization; Transformers; Azure; NLP; Scikit-learn; Computer Vision; Generative AI; Docker,9,,11,Udemy,Yes,Partially
R02702,Feature Engineering; RAG Pipelines; TensorFlow; Generative AI; Edge AI / TinyML; Pandas; R; MLOps; Graph Neural Networks,9,Coursera ML Certificate,0,University courses,Yes,Yes
R02703,Generative AI; Kubernetes; RAG Pipelines; Scikit-learn; Feature Engineering; Edge AI / TinyML,6,AWS ML Specialty,8,LinkedIn Learning,Yes,No
R02704,Python; Azure; Time Series Analysis; GCP; MLOps; Feature Engineering; Edge AI / TinyML; Graph Neural Networks,8,Kaggle Competitions Expert,5,YouTube,Yes,No
R02705,Feature Engineering; MLOps; R; AWS,4,AWS ML Specialty,16,Pluralsight,Yes,Partially
R02706,Time Series Analysis; Kubernetes; Feature Engineering; Python; TensorFlow,5,Azure AI Engineer,7,Kaggle Learn,No,No
R02707,SQL; Scikit-learn; Feature Engineering; MLOps,4,TensorFlow Developer Certificate,1,Coursera,Yes,Partially
R02708,PyTorch; Feature Engineering; Scikit-learn; Generative AI; Kubernetes; MLOps; AWS; NLP,8,Azure AI Engineer,11,Self-study (books/papers),No,Partially
R02709,MLOps; GCP; Fine-tuning LLMs; Azure; Generative AI; PyTorch; Python; Transformers,8,Coursera ML Certificate,0,Coursera,Yes,Yes
R02710,AWS; Graph Neural Networks; Data Visualization; NLP; Docker; PyTorch,6,TensorFlow Developer Certificate,9,Kaggle Learn,No,No
R02711,Fine-tuning LLMs; Python; NLP; Statistics; Reinforcement Learning; RAG Pipelines,6,DeepLearning.AI Specialization,11,Pluralsight,Yes,No
R02712,Python; Docker; RAG Pipelines; Spark; Fine-tuning LLMs; Generative AI; Reinforcement Learning; Pandas; A/B Testing; AWS; Time Series Analysis; Kubernetes; TensorFlow,13,AWS ML Specialty,1,edX,No,Partially
R02713,Feature Engineering; TensorFlow; A/B Testing; Graph Neural Networks,4,,16,edX,Yes,Partially
R02714,AWS; Statistics; Computer Vision; Python; SQL; A/B Testing; Generative AI; Scikit-learn,8,DeepLearning.AI Specialization,2,Coursera,Yes,Yes
R02715,Fine-tuning LLMs; Spark; LangChain; Prompt Engineering; RAG Pipelines; GCP; Feature Engineering; PyTorch,8,Google Professional ML Engineer,8,Coursera,No,Partially
R02716,PyTorch; Kubernetes; A/B Testing; Edge AI / TinyML; Computer Vision; Data Visualization; SQL; Scikit-learn; Pandas,9,,8,Udemy,No,Partially
R02717,Transformers; SQL; Prompt Engineering; Spark; PyTorch; Data Visualization,6,AWS ML Specialty,11,Udemy,No,Partially
R02718,PyTorch; TensorFlow; Fine-tuning LLMs; Graph Neural Networks; Transformers; Edge AI / TinyML,6,Azure AI Engineer,0,DeepLearning.AI,Yes,Yes
R02719,Data Visualization; TensorFlow; Python; GCP; MLOps,5,Coursera ML Certificate,6,edX,No,No
R02720,Graph Neural Networks; LangChain; Transformers; NLP; Statistics; SQL; TensorFlow; AWS; Reinforcement Learning,9,Coursera ML Certificate,8,Kaggle Learn,Yes,No
R02721,Docker; Azure; Prompt Engineering; Data Visualization; Fine-tuning LLMs; Pandas; A/B Testing; Kubernetes; R; LangChain; Statistics,11,Google Professional ML Engineer,8,Udemy,No,Partially
R02722,Pandas; Azure; Scikit-learn; Python; Reinforcement Learning; LangChain; RAG Pipelines; Graph Neural Networks; MLOps,9,,6,Pluralsight,Yes,No
R02723,Prompt Engineering; Generative AI; MLOps; Pandas; NLP; Azure,6,AWS ML Specialty,15,Coursera,Yes,Partially
R02724,Python; Azure; Prompt Engineering; NLP,4,,1,Coursera,Yes,Yes
R02725,Reinforcement Learning; Fine-tuning LLMs; Feature Engineering; Azure; NLP; AWS; Transformers,7,,14,Kaggle Learn,No,Yes
R02726,Computer Vision; Feature Engineering; NLP; A/B Testing; Transformers,5,TensorFlow Developer Certificate,11,edX,No,No
R02727,TensorFlow; Time Series Analysis; R; Kubernetes; Transformers; LangChain; Docker; Python; AWS,9,AWS ML Specialty,1,Udemy,No,Yes
R02728,Python; PyTorch; Statistics; Kubernetes; Fine-tuning LLMs; TensorFlow; MLOps; RAG Pipelines; Time Series Analysis,9,TensorFlow Developer Certificate,17,Pluralsight,Yes,No
R02729,Data Visualization; Generative AI; Time Series Analysis; RAG Pipelines; Scikit-learn,5,AWS ML Specialty,5,Coursera,Yes,Partially
R02730,Prompt Engineering; Transformers; R; Statistics; Computer Vision; GCP; PyTorch; TensorFlow; Docker; SQL; Reinforcement Learning,11,Coursera ML Certificate,11,Company training,Yes,No
R02731,A/B Testing; Reinforcement Learning; Scikit-learn; Fine-tuning LLMs; Transformers; GCP; Azure; Docker; Time Series Analysis; Generative AI; AWS,11,DeepLearning.AI Specialization,10,YouTube,Yes,Partially
R02732,Computer Vision; Graph Neural Networks; Transformers; TensorFlow; Fine-tuning LLMs; R; LangChain; NLP,8,Google Professional ML Engineer,13,Fast.ai,Yes,No
R02733,GCP; Prompt Engineering; Transformers,3,TensorFlow Developer Certificate,3,University courses,Yes,Partially
R02734,Kubernetes; Transformers; Data Visualization; AWS; A/B Testing,5,,4,YouTube,No,Partially
R02735,RAG Pipelines; A/B Testing; NLP; Generative AI; TensorFlow; R,6,,6,Kaggle Learn,No,No
R02736,GCP; SQL; Pandas; Statistics; Prompt Engineering; Computer Vision; A/B Testing; NLP; Graph Neural Networks; Feature Engineering; MLOps; Transformers,12,Azure AI Engineer,2,Company training,No,No
R02737,Edge AI / TinyML; MLOps; Prompt Engineering; Transformers; Pandas; RAG Pipelines,6,DeepLearning.AI Specialization,8,Company training,Yes,Partially
R02738,Reinforcement Learning; Generative AI; Pandas; A/B Testing; Docker,5,Google Professional ML Engineer,8,YouTube,No,Partially
R02739,Spark; Transformers; Statistics; Edge AI / TinyML; Time Series Analysis; LangChain,6,AWS ML Specialty,11,Fast.ai,Yes,Partially
R02740,Graph Neural Networks; GCP; MLOps; Transformers; Azure; Feature Engineering; RAG Pipelines; Reinforcement Learning; Fine-tuning LLMs; Kubernetes; Computer Vision,11,,1,Udemy,Yes,Yes
R02741,Graph Neural Networks; Data Visualization; Feature Engineering; NLP; Python; Pandas; Reinforcement Learning; Docker; RAG Pipelines,9,Google Professional ML Engineer,16,DeepLearning.AI,Yes,Yes
R02742,R; TensorFlow; Fine-tuning LLMs; Docker; Computer Vision,5,,21,Kaggle Learn,Yes,Yes
R02743,Computer Vision; SQL; Generative AI; Prompt Engineering; LangChain; Fine-tuning LLMs; MLOps,7,,5,LinkedIn Learning,No,Yes
R02744,Kubernetes; A/B Testing; Reinforcement Learning; Computer Vision; Statistics; PyTorch; Graph Neural Networks; Azure; Scikit-learn; MLOps; RAG Pipelines; Python; Fine-tuning LLMs; Spark,14,Google Professional ML Engineer,6,edX,No,No
R02745,AWS; Edge AI / TinyML; SQL; RAG Pipelines; PyTorch; MLOps; Spark; NLP; Python; Docker,10,AWS ML Specialty,10,Company training,Yes,Partially
R02746,Scikit-learn; R; Azure; Graph Neural Networks; Python; Transformers; PyTorch; AWS; Edge AI / TinyML,9,TensorFlow Developer Certificate,10,Fast.ai,Yes,Yes
R02747,Python; AWS; PyTorch,3,AWS ML Specialty,6,YouTube,No,Partially
R02748,LangChain; Kubernetes; Data Visualization; Computer Vision; Python; Edge AI / TinyML; SQL; R; TensorFlow; GCP,10,AWS ML Specialty,10,LinkedIn Learning,Yes,Partially
R02749,Scikit-learn; Fine-tuning LLMs; LangChain; Feature Engineering,4,,9,Udemy,Yes,Yes
R02750,Spark; Graph Neural Networks; Kubernetes; Time Series Analysis; GCP; Scikit-learn; Edge AI / TinyML; MLOps,8,DeepLearning.AI Specialization,14,LinkedIn Learning,Yes,No
R02751,AWS; Statistics; Generative AI; R; Kubernetes; Data Visualization; A/B Testing; MLOps; Time Series Analysis; Edge AI / TinyML; Reinforcement Learning,11,AWS ML Specialty,10,University courses,No,No
R02752,Kubernetes; Prompt Engineering; Fine-tuning LLMs; Docker; Azure; TensorFlow; AWS,7,,11,Udemy,Yes,Yes
R02753,AWS; Azure; Python; Kubernetes; Generative AI; R; Feature Engineering; Pandas,8,,2,Udemy,Yes,Yes
R02754,MLOps; Fine-tuning LLMs; AWS; PyTorch; TensorFlow; Kubernetes; Feature Engineering,7,Google Professional ML Engineer,17,Self-study (books/papers),No,No
R02755,Reinforcement Learning; Computer Vision; Spark; MLOps; R,5,Kaggle Competitions Expert,9,LinkedIn Learning,Yes,No
R02756,Pandas; Data Visualization; A/B Testing; RAG Pipelines; AWS; Fine-tuning LLMs,6,Google Professional ML Engineer,8,University courses,No,Partially
R02757,Transformers; Generative AI; Graph Neural Networks; Spark; Statistics; A/B Testing; AWS; SQL,8,Google Professional ML Engineer,18,Pluralsight,Yes,Partially
R02758,MLOps; Docker; Generative AI; NLP,4,,11,YouTube,Yes,Partially
R02759,Graph Neural Networks; Kubernetes; Data Visualization; Edge AI / TinyML; AWS; A/B Testing; Scikit-learn; NLP,8,DeepLearning.AI Specialization,9,edX,Yes,No
R02760,SQL; Generative AI; Time Series Analysis; A/B Testing; Graph Neural Networks; Python; TensorFlow,7,Coursera ML Certificate,11,Udemy,Yes,No
R02761,Pandas; GCP; Azure; R; Reinforcement Learning; Transformers; Generative AI; MLOps; Edge AI / TinyML,9,,11,LinkedIn Learning,No,Yes
R02762,R; NLP; Docker; Time Series Analysis; MLOps,5,DeepLearning.AI Specialization,5,edX,Yes,Yes
R02763,Prompt Engineering; Edge AI / TinyML; Reinforcement Learning; Scikit-learn; PyTorch; A/B Testing; Spark,7,AWS ML Specialty,8,Udemy,Yes,Partially
R02764,AWS; Edge AI / TinyML; SQL; Transformers; Fine-tuning LLMs; Azure; Scikit-learn,7,,9,Company training,Yes,Yes
