respondent_id,ai_tool,usage_frequency,productivity_change_pct,satisfaction_score,primary_use_case
R02954,Custom In-house AI,Weekly,26.2,4,Brainstorming
R02954,Google Vertex AI,Several times a week,17.6,4,Translation
R02954,AWS Bedrock,Several times a week,21.5,4,Translation
R02954,Stable Diffusion,Weekly,17.2,1,Research
R02954,Midjourney,Several times a week,26.9,3,Customer support automation
R02955,Gemini,Several times a week,30.0,2,Brainstorming
R02955,Replit AI,Daily,22.6,4,Translation
R02955,Custom In-house AI,Weekly,44.9,4,Research
R02955,Cursor,Rarely,26.1,3,Image generation
R02956,Hugging Face Models,Daily,44.2,3,Data analysis
R02956,LLaMA / Open-source LLMs,Several times a week,45.1,4,Customer support automation
R02956,Custom In-house AI,Rarely,25.2,3,Debugging
R02956,Gemini,Weekly,29.5,2,Brainstorming
R02957,Midjourney,Several times a week,36.1,4,Data analysis
R02957,Azure OpenAI,Daily,-19.5,4,Research
R02957,Replit AI,Daily,30.2,4,Translation
R02957,Stable Diffusion,Daily,2.8,4,Translation
R02957,v0 by Vercel,Daily,36.4,4,Customer support automation
R02958,AWS Bedrock,Several times a week,49.1,3,Customer support automation
R02958,Google Vertex AI,Several times a week,32.8,5,Workflow automation
R02958,Hugging Face Models,Daily,6.4,2,Data analysis
R02958,Perplexity,Weekly,20.7,4,Brainstorming
R02958,Jasper AI,Daily,38.9,4,Translation
R02958,Gemini,Several times a week,39.2,3,Debugging
R02959,Cursor,Weekly,-14.5,4,Workflow automation
R02959,Azure OpenAI,Rarely,4.8,3,Translation
R02960,Hugging Face Models,Monthly,40.1,4,Customer support automation
R02960,Azure OpenAI,Daily,2.0,5,Workflow automation
R02960,LLaMA / Open-source LLMs,Daily,16.8,5,Debugging
R02961,Midjourney,Rarely,36.2,5,Image generation
R02961,Notion AI,Weekly,44.7,4,Image generation
R02961,Devin,Rarely,10.5,5,Image generation
R02961,GitHub Copilot,Several times a week,46.2,3,Code generation
R02961,Jasper AI,Weekly,-10.4,3,Research
R02962,Notion AI,Several times a week,29.5,4,Brainstorming
R02962,Midjourney,Several times a week,19.8,4,Data analysis
R02962,Perplexity,Several times a week,74.9,1,Code generation
R02962,Custom In-house AI,Several times a week,41.1,4,Translation
R02963,Tableau AI,Several times a week,37.2,5,Image generation
R02963,Devin,Several times a week,6.0,4,Data analysis
R02963,Jasper AI,Several times a week,-3.0,4,Debugging
R02964,Stable Diffusion,Several times a week,26.4,5,Customer support automation
R02964,Custom In-house AI,Daily,9.6,4,Research
R02964,Gemini,Several times a week,41.1,3,Workflow automation
R02964,Replit AI,Weekly,22.6,3,Research
R02965,Jasper AI,Several times a week,0.8,5,Customer support automation
R02965,v0 by Vercel,Daily,10.4,3,Brainstorming
R02965,Replit AI,Weekly,3.3,4,Translation
R02965,Tableau AI,Several times a week,11.3,4,Brainstorming
R02966,Azure OpenAI,Daily,47.4,2,Image generation
R02966,Cursor,Monthly,-18.1,5,Image generation
R02966,GitHub Copilot,Daily,-2.7,4,Data analysis
R02966,AWS Bedrock,Daily,0.9,1,Workflow automation
R02966,Stable Diffusion,Rarely,36.8,5,Code generation
R02966,Google Vertex AI,Rarely,50.3,4,Translation
R02967,Custom In-house AI,Monthly,40.9,5,Research
R02967,Devin,Weekly,34.0,4,Image generation
R02967,GitHub Copilot,Weekly,14.0,4,Translation
R02967,Claude,Weekly,77.4,4,Writing & docs
R02967,LLaMA / Open-source LLMs,Monthly,-15.9,4,Image generation
R02967,Cursor,Daily,22.4,3,Workflow automation
R02967,AWS Bedrock,Daily,36.0,4,Customer support automation
R02967,Hugging Face Models,Weekly,12.3,5,Debugging
R02968,Replit AI,Several times a week,21.2,4,Customer support automation
R02968,Gemini,Monthly,29.8,4,Brainstorming
R02968,Azure OpenAI,Several times a week,-5.1,4,Customer support automation
R02969,ChatGPT,Daily,40.4,3,Image generation
R02969,GitHub Copilot,Weekly,39.3,4,Translation
R02969,Devin,Weekly,23.3,1,Image generation
R02969,v0 by Vercel,Weekly,32.2,4,Brainstorming
R02969,Custom In-house AI,Monthly,11.1,4,Code generation
R02970,Stable Diffusion,Rarely,4.2,4,Data analysis
R02970,Devin,Monthly,39.2,4,Debugging
R02970,Cursor,Daily,26.0,4,Image generation
R02970,Claude,Daily,15.6,2,Translation
R02970,AWS Bedrock,Daily,77.2,2,Workflow automation
R02971,Jasper AI,Weekly,13.8,5,Data analysis
R02971,Midjourney,Several times a week,20.9,4,Writing & docs
R02971,Replit AI,Rarely,49.8,5,Code generation
R02972,Cursor,Monthly,37.1,4,Workflow automation
R02972,ChatGPT,Monthly,21.0,4,Translation
R02972,Stable Diffusion,Daily,24.6,3,Code generation
R02972,Custom In-house AI,Several times a week,6.3,2,Workflow automation
R02973,LLaMA / Open-source LLMs,Monthly,20.6,4,Image generation
R02973,AWS Bedrock,Monthly,-7.5,4,Customer support automation
R02973,ChatGPT,Weekly,14.9,4,Image generation
R02974,LLaMA / Open-source LLMs,Several times a week,38.7,4,Image generation
R02975,v0 by Vercel,Several times a week,18.7,4,Translation
R02975,Perplexity,Daily,68.6,4,Brainstorming
R02976,Jasper AI,Daily,79.6,4,Data analysis
R02976,Azure OpenAI,Rarely,29.0,4,Brainstorming
R02976,Google Vertex AI,Daily,49.2,5,Writing & docs
R02976,Gemini,Several times a week,54.1,5,Brainstorming
R02977,Claude,Daily,17.7,4,Customer support automation
R02977,LLaMA / Open-source LLMs,Monthly,26.2,5,Image generation
R02977,Google Vertex AI,Monthly,9.9,5,Data analysis
R02978,Custom In-house AI,Daily,56.6,4,Writing & docs
R02978,Google Vertex AI,Several times a week,45.7,4,Image generation
R02978,LLaMA / Open-source LLMs,Weekly,35.3,3,Writing & docs
R02978,AWS Bedrock,Weekly,42.6,3,Data analysis
R02979,Replit AI,Several times a week,8.8,5,Customer support automation
R02979,LLaMA / Open-source LLMs,Weekly,23.7,3,Writing & docs
R02980,LLaMA / Open-source LLMs,Weekly,52.7,3,Image generation
R02980,Hugging Face Models,Monthly,42.3,1,Data analysis
R02980,Perplexity,Several times a week,35.0,5,Data analysis
R02981,LLaMA / Open-source LLMs,Monthly,31.6,5,Brainstorming
R02981,Gemini,Weekly,1.0,4,Data analysis
R02981,v0 by Vercel,Monthly,37.0,3,Data analysis
R02981,Custom In-house AI,Several times a week,11.5,3,Data analysis
R02981,Claude,Rarely,31.1,5,Brainstorming
R02982,Tableau AI,Daily,38.9,5,Research
R02982,Custom In-house AI,Daily,5.2,4,Customer support automation
R02982,ChatGPT,Daily,50.6,5,Debugging
R02982,Notion AI,Weekly,6.3,3,Image generation
R02982,Google Vertex AI,Daily,19.1,3,Image generation
R02983,GitHub Copilot,Daily,49.9,3,Code generation
R02983,v0 by Vercel,Daily,30.0,5,Code generation
R02983,LLaMA / Open-source LLMs,Weekly,18.6,5,Translation
R02983,Jasper AI,Several times a week,57.6,5,Debugging
R02983,Notion AI,Rarely,67.6,4,Debugging
R02983,Stable Diffusion,Weekly,46.8,4,Image generation
R02983,Perplexity,Several times a week,26.4,3,Translation
R02983,Cursor,Weekly,65.9,5,Research
R02984,Midjourney,Several times a week,13.4,3,Data analysis
R02984,Google Vertex AI,Several times a week,38.4,1,Research
R02984,Tableau AI,Daily,25.7,5,Debugging
R02984,Azure OpenAI,Several times a week,42.8,3,Customer support automation
R02985,ChatGPT,Weekly,55.7,5,Research
R02985,Devin,Several times a week,40.0,4,Code generation
R02986,Hugging Face Models,Weekly,35.1,2,Data analysis
R02986,GitHub Copilot,Several times a week,39.9,5,Translation
R02986,Gemini,Weekly,3.1,3,Research
R02986,Custom In-house AI,Several times a week,46.8,4,Data analysis
R02987,ChatGPT,Daily,44.1,4,Translation
R02987,Midjourney,Daily,31.7,4,Code generation
R02987,LLaMA / Open-source LLMs,Several times a week,6.7,2,Writing & docs
R02987,Notion AI,Several times a week,57.2,5,Workflow automation
R02987,Gemini,Monthly,24.6,4,Image generation
R02987,Perplexity,Daily,30.9,5,Writing & docs
R02987,Azure OpenAI,Several times a week,72.4,4,Workflow automation
R02988,Stable Diffusion,Several times a week,18.4,5,Translation
R02988,Replit AI,Daily,42.5,5,Brainstorming
R02988,Cursor,Weekly,21.8,5,Debugging
R02988,Perplexity,Weekly,36.8,5,Brainstorming
R02988,Azure OpenAI,Daily,36.1,4,Data analysis
R02988,ChatGPT,Weekly,76.2,3,Translation
R02989,Google Vertex AI,Rarely,37.5,4,Workflow automation
R02989,AWS Bedrock,Rarely,-2.5,3,Translation
R02989,Replit AI,Several times a week,41.7,4,Debugging
R02989,Notion AI,Several times a week,27.7,4,Debugging
R02990,Notion AI,Several times a week,23.6,3,Workflow automation
R02991,Notion AI,Weekly,16.2,4,Image generation
R02991,LLaMA / Open-source LLMs,Monthly,20.1,3,Customer support automation
R02991,Devin,Weekly,59.7,3,Debugging
R02992,Notion AI,Daily,30.1,2,Code generation
R02992,v0 by Vercel,Weekly,38.4,5,Translation
R02992,Devin,Monthly,32.1,4,Translation
R02992,Custom In-house AI,Daily,43.3,4,Workflow automation
R02992,Perplexity,Weekly,21.0,2,Image generation
R02993,Stable Diffusion,Rarely,58.4,4,Brainstorming
R02993,Google Vertex AI,Several times a week,71.6,4,Data analysis
R02994,ChatGPT,Monthly,41.7,3,Data analysis
R02994,Hugging Face Models,Weekly,-18.5,4,Research
R02994,Claude,Weekly,-7.9,5,Debugging
R02994,Replit AI,Several times a week,23.5,4,Customer support automation
R02994,Notion AI,Daily,18.0,4,Translation
R02995,Claude,Monthly,11.7,5,Translation
R02995,Notion AI,Daily,30.7,2,Customer support automation
R02996,AWS Bedrock,Rarely,25.0,4,Customer support automation
R02997,Notion AI,Several times a week,43.5,4,Research
R02997,Perplexity,Several times a week,17.3,3,Code generation
R02997,ChatGPT,Weekly,48.0,4,Translation
R02997,Stable Diffusion,Rarely,71.6,5,Workflow automation
R02997,Cursor,Monthly,43.2,3,Workflow automation
R02997,AWS Bedrock,Monthly,22.9,5,Brainstorming
R02997,Azure OpenAI,Several times a week,45.3,3,Data analysis
R02998,Google Vertex AI,Weekly,72.8,5,Brainstorming
R02998,Azure OpenAI,Monthly,27.6,4,Writing & docs
R02998,Claude,Rarely,12.3,3,Image generation
R02998,ChatGPT,Several times a week,80.0,2,Writing & docs
R02998,v0 by Vercel,Several times a week,50.2,5,Writing & docs
R02998,Notion AI,Several times a week,17.3,1,Brainstorming
R02998,Hugging Face Models,Daily,60.2,5,Code generation
R02998,Devin,Rarely,23.3,3,Brainstorming
R02999,GitHub Copilot,Several times a week,62.4,5,Brainstorming
R02999,Azure OpenAI,Daily,45.1,5,Workflow automation
R02999,Gemini,Weekly,5.2,3,Customer support automation
R03000,Replit AI,Weekly,-1.9,5,Workflow automation
R03000,Custom In-house AI,Monthly,21.6,2,Code generation
R03000,v0 by Vercel,Several times a week,40.5,5,Debugging
R03001,Tableau AI,Daily,45.6,5,Research
R03001,LLaMA / Open-source LLMs,Daily,19.6,5,Writing & docs
R03001,Gemini,Weekly,39.0,3,Brainstorming
R03001,AWS Bedrock,Several times a week,36.6,5,Customer support automation
R03001,Midjourney,Several times a week,69.2,3,Translation
R03001,Claude,Weekly,27.1,4,Data analysis
R03001,Hugging Face Models,Several times a week,35.1,4,Research
R03002,GitHub Copilot,Several times a week,55.5,4,Data analysis
R03002,Replit AI,Daily,41.9,3,Debugging
R03002,AWS Bedrock,Several times a week,55.1,5,Code generation
R03002,Jasper AI,Daily,41.9,5,Workflow automation
R03002,Tableau AI,Rarely,9.0,4,Debugging
R03002,Hugging Face Models,Monthly,9.9,2,Code generation
R03003,Gemini,Weekly,49.6,5,Customer support automation
R03003,Stable Diffusion,Several times a week,34.7,5,Writing & docs
R03003,Custom In-house AI,Monthly,47.3,4,Customer support automation
R03003,Replit AI,Monthly,63.2,4,Brainstorming
R03004,AWS Bedrock,Weekly,-20.0,4,Brainstorming
R03004,Midjourney,Weekly,52.1,5,Customer support automation
R03004,Claude,Rarely,5.9,3,Research
R03004,Perplexity,Daily,29.3,4,Code generation
R03005,Jasper AI,Monthly,18.0,5,Brainstorming
R03005,ChatGPT,Daily,17.7,2,Customer support automation
R03005,LLaMA / Open-source LLMs,Several times a week,25.2,4,Customer support automation
R03006,Tableau AI,Daily,6.9,4,Customer support automation
R03006,LLaMA / Open-source LLMs,Several times a week,-20.0,4,Debugging
R03006,Claude,Weekly,46.4,3,Code generation
R03006,v0 by Vercel,Rarely,11.6,2,Workflow automation
R03006,Midjourney,Several times a week,10.4,3,Code generation
R03007,Replit AI,Daily,45.4,4,Workflow automation
R03008,Midjourney,Daily,43.2,3,Image generation
R03009,Hugging Face Models,Rarely,27.6,2,Translation
R03009,Midjourney,Monthly,35.9,4,Code generation
R03009,Replit AI,Daily,67.3,4,Translation
R03009,Gemini,Several times a week,27.0,2,Translation
R03009,LLaMA / Open-source LLMs,Daily,22.8,4,Research
R03009,v0 by Vercel,Weekly,48.2,5,Debugging
R03009,Jasper AI,Several times a week,25.8,3,Translation
R03010,LLaMA / Open-source LLMs,Weekly,24.7,4,Translation
R03010,GitHub Copilot,Daily,7.1,3,Translation
R03010,Google Vertex AI,Several times a week,33.3,5,Writing & docs
R03011,Google Vertex AI,Daily,16.5,2,Research
R03011,Jasper AI,Daily,-2.0,4,Research
R03011,Hugging Face Models,Several times a week,35.7,5,Workflow automation
R03011,AWS Bedrock,Several times a week,57.9,5,Code generation
R03011,Perplexity,Several times a week,10.5,1,Data analysis
R03011,Claude,Daily,3.0,4,Translation
R03012,Gemini,Several times a week,5.3,4,Code generation
R03012,Jasper AI,Daily,45.3,4,Writing & docs
R03012,Cursor,Several times a week,80.0,4,Code generation
R03013,ChatGPT,Monthly,8.9,5,Customer support automation
R03013,GitHub Copilot,Several times a week,58.8,5,Writing & docs
R03013,Perplexity,Weekly,41.8,4,Data analysis
R03013,Custom In-house AI,Several times a week,40.2,4,Debugging
R03013,Azure OpenAI,Daily,10.1,2,Image generation
R03014,Tableau AI,Monthly,35.0,4,Debugging
R03014,Stable Diffusion,Weekly,52.8,5,Writing & docs
R03014,Jasper AI,Monthly,6.7,5,Code generation
R03014,ChatGPT,Several times a week,-0.4,5,Code generation
R03014,Hugging Face Models,Rarely,12.3,1,Research
R03014,Replit AI,Daily,64.7,2,Writing & docs
R03015,Azure OpenAI,Weekly,57.1,5,Research
R03016,v0 by Vercel,Monthly,-12.6,5,Debugging
R03016,AWS Bedrock,Several times a week,8.4,2,Data analysis
R03016,Google Vertex AI,Daily,27.4,5,Data analysis
R03016,Replit AI,Weekly,29.0,3,Debugging
R03016,Stable Diffusion,Several times a week,44.7,4,Code generation
R03017,Perplexity,Monthly,53.6,4,Code generation
R03017,v0 by Vercel,Weekly,39.6,3,Workflow automation
R03017,Replit AI,Several times a week,18.6,5,Translation
R03017,AWS Bedrock,Daily,40.9,5,Translation
R03017,Google Vertex AI,Several times a week,22.3,2,Translation
R03018,Claude,Daily,36.9,3,Customer support automation
R03018,Cursor,Weekly,43.5,4,Research
R03019,LLaMA / Open-source LLMs,Rarely,21.5,4,Debugging
R03019,Custom In-house AI,Weekly,33.6,4,Debugging
R03019,Cursor,Daily,13.9,4,Debugging
R03020,Gemini,Monthly,39.7,4,Code generation
R03020,Cursor,Weekly,44.3,4,Debugging
R03020,Devin,Rarely,32.5,5,Workflow automation
R03020,Hugging Face Models,Several times a week,44.8,1,Writing & docs
R03021,Devin,Several times a week,10.3,3,Debugging
R03021,Jasper AI,Monthly,10.7,5,Research
R03022,Azure OpenAI,Several times a week,35.9,5,Debugging
R03022,Custom In-house AI,Monthly,19.3,5,Data analysis
R03022,Notion AI,Monthly,0.2,5,Translation
R03022,Claude,Monthly,74.7,5,Image generation
R03023,Gemini,Rarely,46.2,5,Customer support automation
R03023,Replit AI,Weekly,21.5,3,Research
R03023,AWS Bedrock,Daily,7.9,5,Research
R03023,Custom In-house AI,Several times a week,15.2,3,Research
R03023,Devin,Monthly,42.9,4,Translation
R03024,Claude,Monthly,60.9,3,Writing & docs
R03024,Google Vertex AI,Several times a week,2.7,5,Data analysis
R03025,Perplexity,Daily,35.2,2,Debugging
R03025,Cursor,Rarely,12.4,4,Customer support automation
R03025,Custom In-house AI,Weekly,-4.8,5,Image generation
R03025,Stable Diffusion,Several times a week,20.7,3,Brainstorming
R03025,v0 by Vercel,Weekly,39.2,3,Translation
R03026,Notion AI,Several times a week,14.3,4,Writing & docs
R03026,Tableau AI,Daily,51.6,3,Workflow automation
R03026,Stable Diffusion,Daily,-3.3,4,Translation
R03026,LLaMA / Open-source LLMs,Weekly,36.1,4,Translation
R03027,Midjourney,Several times a week,-2.7,3,Translation
R03027,GitHub Copilot,Several times a week,2.6,5,Customer support automation
R03027,Claude,Monthly,19.0,5,Translation
R03027,AWS Bedrock,Weekly,54.7,5,Writing & docs
R03027,Custom In-house AI,Several times a week,46.7,5,Customer support automation
R03027,Replit AI,Monthly,44.6,4,Research
R03028,LLaMA / Open-source LLMs,Weekly,64.3,5,Workflow automation
R03028,Stable Diffusion,Several times a week,39.3,3,Data analysis
R03028,Replit AI,Several times a week,21.3,4,Writing & docs
R03028,Azure OpenAI,Daily,31.9,4,Debugging
R03029,GitHub Copilot,Daily,19.6,3,Brainstorming
R03029,Azure OpenAI,Weekly,38.2,4,Customer support automation
R03029,Google Vertex AI,Several times a week,-4.0,3,Brainstorming
R03030,Tableau AI,Several times a week,-2.1,4,Brainstorming
R03030,Cursor,Rarely,27.2,4,Customer support automation
R03030,Azure OpenAI,Weekly,30.0,5,Data analysis
R03030,Stable Diffusion,Rarely,22.0,4,Code generation
R03031,Cursor,Rarely,53.1,5,Brainstorming
R03031,AWS Bedrock,Daily,23.5,2,Code generation
R03031,Notion AI,Monthly,65.4,4,Research
R03031,Midjourney,Weekly,30.4,3,Writing & docs
R03031,ChatGPT,Monthly,22.7,5,Writing & docs
R03031,v0 by Vercel,Several times a week,32.9,3,Brainstorming
R03032,v0 by Vercel,Daily,37.4,4,Workflow automation
R03032,Replit AI,Several times a week,42.2,5,Debugging
R03032,Gemini,Daily,35.1,3,Customer support automation
R03032,LLaMA / Open-source LLMs,Monthly,46.0,4,Debugging
R03032,Stable Diffusion,Daily,37.3,5,Debugging
R03032,Jasper AI,Monthly,-20.0,2,Translation
R03033,Perplexity,Weekly,44.7,4,Debugging
R03033,Replit AI,Daily,51.4,4,Writing & docs
R03033,Hugging Face Models,Several times a week,74.5,2,Data analysis
R03033,Devin,Daily,27.7,4,Translation
R03034,v0 by Vercel,Monthly,30.3,4,Writing & docs
R03034,LLaMA / Open-source LLMs,Daily,-2.5,4,Debugging
R03034,Perplexity,Several times a week,23.5,3,Brainstorming
R03034,Notion AI,Several times a week,50.5,3,Debugging
R03034,Hugging Face Models,Monthly,58.7,5,Image generation
R03035,GitHub Copilot,Monthly,35.2,3,Research
R03035,ChatGPT,Weekly,37.0,4,Workflow automation
R03035,Replit AI,Several times a week,80.0,4,Research
R03035,Cursor,Monthly,-6.2,5,Image generation
R03035,Tableau AI,Rarely,38.6,3,Writing & docs
R03035,Custom In-house AI,Monthly,36.9,3,Translation
R03036,Azure OpenAI,Daily,9.3,4,Workflow automation
R03036,Midjourney,Weekly,51.6,1,Image generation
R03036,Perplexity,Rarely,5.1,4,Writing & docs
R03037,Perplexity,Weekly,52.9,3,Customer support automation
R03038,v0 by Vercel,Rarely,-20.0,4,Customer support automation
R03038,AWS Bedrock,Several times a week,20.8,4,Translation
R03038,Perplexity,Rarely,-0.8,1,Brainstorming
R03038,Notion AI,Weekly,51.3,3,Debugging
R03039,Tableau AI,Rarely,-2.8,4,Brainstorming
R03039,Custom In-house AI,Several times a week,-5.1,3,Writing & docs
R03039,AWS Bedrock,Several times a week,58.1,4,Customer support automation
R03039,Hugging Face Models,Monthly,-14.2,3,Data analysis
R03039,Devin,Several times a week,30.2,5,Image generation
R03040,Custom In-house AI,Weekly,21.5,3,Writing & docs
R03040,Notion AI,Weekly,73.6,5,Debugging
R03040,LLaMA / Open-source LLMs,Daily,33.7,5,Code generation
R03041,v0 by Vercel,Daily,40.5,5,Code generation
R03041,Perplexity,Monthly,17.4,4,Image generation
R03041,Tableau AI,Daily,14.1,4,Customer support automation
R03041,Midjourney,Monthly,12.4,3,Data analysis
R03042,Custom In-house AI,Daily,31.7,4,Debugging
R03042,Google Vertex AI,Weekly,13.3,5,Image generation
R03042,Replit AI,Several times a week,48.7,2,Image generation
R03042,ChatGPT,Weekly,-16.7,3,Customer support automation
R03042,v0 by Vercel,Daily,18.1,4,Image generation
R03043,Cursor,Several times a week,18.8,4,Brainstorming
R03043,AWS Bedrock,Daily,46.5,1,Debugging
R03043,v0 by Vercel,Several times a week,4.3,4,Writing & docs
R03043,Azure OpenAI,Weekly,-7.9,5,Writing & docs
R03044,Google Vertex AI,Several times a week,18.3,3,Writing & docs
R03044,Perplexity,Several times a week,45.1,4,Customer support automation
R03044,Replit AI,Daily,56.5,5,Research
R03045,GitHub Copilot,Weekly,14.5,4,Translation
R03045,Tableau AI,Several times a week,34.3,3,Customer support automation
R03045,Stable Diffusion,Daily,-7.5,4,Code generation
R03045,ChatGPT,Weekly,59.4,5,Debugging
R03046,GitHub Copilot,Daily,35.6,4,Debugging
R03046,Hugging Face Models,Daily,47.5,5,Translation
R03047,Gemini,Several times a week,5.9,5,Data analysis
R03047,Stable Diffusion,Rarely,13.7,4,Debugging
R03047,Tableau AI,Several times a week,29.7,4,Translation
R03047,Notion AI,Monthly,32.8,5,Code generation
R03048,Custom In-house AI,Monthly,26.5,4,Code generation
R03048,Perplexity,Daily,34.3,2,Brainstorming
R03048,Jasper AI,Several times a week,16.9,4,Code generation
R03049,Claude,Monthly,-0.5,4,Code generation
R03049,Custom In-house AI,Daily,8.4,4,Customer support automation
R03049,Replit AI,Daily,28.5,3,Research
R03050,Custom In-house AI,Monthly,25.8,3,Writing & docs
R03050,Hugging Face Models,Several times a week,28.0,2,Writing & docs
R03050,Google Vertex AI,Daily,11.5,3,Image generation
R03051,Stable Diffusion,Several times a week,47.5,4,Translation
R03051,Midjourney,Daily,13.5,3,Code generation
R03051,GitHub Copilot,Daily,5.4,4,Brainstorming
R03052,Jasper AI,Several times a week,44.7,3,Image generation
R03052,AWS Bedrock,Monthly,8.6,3,Code generation
R03052,GitHub Copilot,Monthly,80.0,5,Data analysis
R03052,Google Vertex AI,Daily,12.6,4,Workflow automation
R03053,Hugging Face Models,Several times a week,14.9,5,Data analysis
R03053,AWS Bedrock,Weekly,22.3,3,Research
R03053,Stable Diffusion,Weekly,29.2,3,Brainstorming
R03053,Gemini,Weekly,-20.0,4,Customer support automation
R03054,Stable Diffusion,Several times a week,17.5,5,Research
R03054,AWS Bedrock,Several times a week,28.8,5,Data analysis
R03054,Devin,Monthly,-20.0,5,Research
R03054,ChatGPT,Several times a week,31.9,3,Brainstorming
R03054,Custom In-house AI,Daily,78.0,5,Code generation
R03055,Jasper AI,Rarely,31.1,5,Workflow automation
R03055,LLaMA / Open-source LLMs,Rarely,25.6,4,Debugging
R03055,AWS Bedrock,Daily,51.8,4,Data analysis
R03055,ChatGPT,Several times a week,45.9,5,Customer support automation
R03055,Midjourney,Weekly,7.0,5,Research
R03055,v0 by Vercel,Daily,36.3,4,Data analysis
R03056,AWS Bedrock,Rarely,6.4,3,Customer support automation
R03056,Replit AI,Daily,59.0,4,Brainstorming
R03056,v0 by Vercel,Several times a week,34.7,3,Data analysis
R03057,Google Vertex AI,Daily,14.5,2,Writing & docs
R03057,Replit AI,Daily,33.0,4,Brainstorming
R03058,Stable Diffusion,Monthly,40.6,5,Customer support automation
R03058,Google Vertex AI,Rarely,32.2,5,Brainstorming
R03059,Stable Diffusion,Several times a week,58.8,4,Image generation
R03059,v0 by Vercel,Several times a week,17.0,3,Workflow automation
R03060,Replit AI,Several times a week,57.9,3,Workflow automation
R03060,Cursor,Daily,20.5,5,Translation
R03061,Perplexity,Weekly,66.4,4,Research
R03061,Gemini,Daily,19.9,2,Debugging
R03061,Notion AI,Rarely,36.4,2,Data analysis
R03062,Azure OpenAI,Daily,-14.0,5,Code generation
R03062,Notion AI,Rarely,52.9,3,Data analysis
R03062,Custom In-house AI,Daily,31.0,3,Writing & docs
R03063,AWS Bedrock,Several times a week,36.6,5,Writing & docs
R03063,ChatGPT,Weekly,29.7,4,Translation
R03063,Tableau AI,Several times a week,49.1,1,Workflow automation
R03064,Gemini,Several times a week,47.0,5,Code generation
R03064,LLaMA / Open-source LLMs,Daily,34.4,5,Translation
R03064,v0 by Vercel,Rarely,59.1,4,Image generation
R03065,Gemini,Monthly,17.4,5,Research
R03065,ChatGPT,Several times a week,27.8,4,Translation
R03065,Notion AI,Weekly,41.3,4,Workflow automation
R03065,Claude,Several times a week,30.7,4,Brainstorming
R03065,Hugging Face Models,Daily,-4.4,3,Code generation
R03065,Stable Diffusion,Weekly,14.5,4,Debugging
R03065,Cursor,Weekly,-8.4,4,Brainstorming
R03065,Google Vertex AI,Daily,15.0,4,Brainstorming
R03066,Devin,Several times a week,76.9,5,Brainstorming
R03066,Tableau AI,Weekly,55.7,4,Writing & docs
R03066,Perplexity,Several times a week,55.4,4,Writing & docs
R03066,Replit AI,Weekly,22.8,4,Image generation
R03066,v0 by Vercel,Daily,46.5,5,Brainstorming
R03067,Cursor,Daily,54.6,1,Brainstorming
R03067,GitHub Copilot,Several times a week,12.4,4,Workflow automation
R03067,Midjourney,Daily,-0.6,4,Workflow automation
R03067,Stable Diffusion,Several times a week,53.5,4,Data analysis
R03067,Jasper AI,Monthly,24.5,4,Brainstorming
R03067,AWS Bedrock,Several times a week,6.9,4,Data analysis
R03068,Perplexity,Weekly,23.1,5,Code generation
R03068,ChatGPT,Weekly,14.2,5,Translation
R03068,v0 by Vercel,Rarely,0.5,4,Code generation
R03068,Tableau AI,Daily,9.3,3,Debugging
R03068,Claude,Monthly,27.2,4,Writing & docs
R03069,v0 by Vercel,Monthly,20.8,4,Debugging
R03069,Stable Diffusion,Several times a week,19.2,4,Workflow automation
R03070,Devin,Daily,15.4,3,Research
R03070,Custom In-house AI,Rarely,42.0,3,Image generation
R03070,Jasper AI,Several times a week,6.5,4,Debugging
R03070,v0 by Vercel,Daily,20.7,5,Translation
R03071,Devin,Weekly,35.6,2,Writing & docs
R03071,Jasper AI,Monthly,6.2,4,Code generation
R03071,v0 by Vercel,Daily,28.9,5,Code generation
R03071,Google Vertex AI,Daily,22.5,5,Workflow automation
R03072,Tableau AI,Weekly,30.8,3,Brainstorming
R03072,Devin,Monthly,55.3,5,Translation
R03073,ChatGPT,Weekly,0.3,5,Writing & docs
R03073,Perplexity,Weekly,23.3,4,Workflow automation
R03073,v0 by Vercel,Rarely,49.6,4,Code generation
R03074,Notion AI,Several times a week,60.6,4,Workflow automation
R03074,Hugging Face Models,Several times a week,9.8,4,Debugging
R03074,Devin,Several times a week,-20.0,5,Writing & docs
R03074,Replit AI,Several times a week,24.2,5,Translation
R03074,Claude,Rarely,15.2,3,Data analysis
R03075,Gemini,Weekly,6.7,4,Debugging
R03075,Perplexity,Several times a week,15.0,2,Debugging
R03075,Google Vertex AI,Daily,17.5,4,Workflow automation
R03075,Claude,Monthly,36.6,5,Debugging
R03075,GitHub Copilot,Monthly,40.7,3,Translation
R03076,Gemini,Weekly,32.3,5,Translation
R03076,v0 by Vercel,Daily,45.8,3,Customer support automation
R03076,Notion AI,Several times a week,40.5,5,Translation
R03076,Tableau AI,Several times a week,31.6,4,Workflow automation
R03076,Midjourney,Daily,38.3,4,Research
R03076,GitHub Copilot,Monthly,47.6,4,Data analysis
R03076,Cursor,Daily,48.0,4,Image generation
R03077,Midjourney,Monthly,0.8,5,Workflow automation
R03077,Claude,Monthly,18.7,3,Brainstorming
R03077,Tableau AI,Daily,38.2,4,Writing & docs
