respondent_id,survey_year,age,gender,country,education_level,job_role,industry,company_size,years_of_experience,remote_work_status
R01517,2024,28,Female,Canada,Master's,Data Scientist,Finance & Banking,1001-5000,21,On-site
R01518,2025,29,Male,Italy,Master's,Data Analyst,Consulting,1-10,11,Hybrid
R01519,2025,25,Male,Canada,Master's,Full-Stack Developer,Healthcare,11-50,3,Hybrid
R01520,2025,38,Male,Nigeria,Master's,UX Designer,Legal,51-200,27,Hybrid
R01521,2025,35,Male,Australia,Bachelor's,Data Analyst,Manufacturing,201-1000,17,Hybrid
R01522,2026,26,Male,United States,Bachelor's,Software Engineer,Government,5000+,11,Hybrid
R01523,2025,36,Female,Japan,Bachelor's,Full-Stack Developer,Technology,11-50,6,Fully Remote
R01524,2025,30,Female,Australia,Bachelor's,AI Researcher,Media & Entertainment,5000+,3,Fully Remote
R01525,2024,24,Female,Singapore,Master's,Data Scientist,Healthcare,201-1000,5,Hybrid
R01526,2026,26,Male,United States,Master's,UX Designer,Finance & Banking,51-200,15,Hybrid
R01527,2024,35,Male,India,Bachelor's,DevOps / MLOps Engineer,Consulting,1001-5000,27,On-site
R01528,2025,39,Male,Singapore,PhD,Data Scientist,Finance & Banking,1001-5000,21,Fully Remote
R01529,2026,28,Non-binary,United Kingdom,Master's,Data Scientist,Technology,51-200,5,On-site
R01530,2024,36,Female,Sweden,Master's,Data Scientist,Finance & Banking,5000+,3,On-site
R01531,2025,44,Female,Canada,PhD,Data Engineer,Education,201-1000,8,Fully Remote
R01532,2024,21,Male,United States,Self-taught / Bootcamp,Data Analyst,Finance & Banking,11-50,2,Hybrid
R01533,2026,34,Male,Japan,Bachelor's,Software Engineer,Education,201-1000,9,On-site
R01534,2025,38,Male,Canada,Master's,ML Engineer,Healthcare,1001-5000,6,Fully Remote
R01535,2026,31,Female,India,Self-taught / Bootcamp,AI Researcher,Healthcare,201-1000,5,Hybrid
R01536,2026,41,Female,United States,Bachelor's,Data Scientist,Technology,201-1000,2,On-site
R01537,2025,49,Male,India,Bachelor's,Product Manager,Finance & Banking,1-10,10,On-site
R01538,2025,34,Male,United States,Master's,Software Engineer,Finance & Banking,201-1000,5,Hybrid
R01539,2025,30,Female,Brazil,Master's,Data Engineer,Finance & Banking,51-200,3,On-site
R01540,2025,39,Male,Singapore,Bachelor's,Full-Stack Developer,Technology,1-10,0,Fully Remote
R01541,2025,38,Female,India,Bachelor's,Data Scientist,Healthcare,1001-5000,7,Hybrid
R01542,2026,18,Male,Japan,Master's,ML Engineer,Finance & Banking,11-50,25,On-site
R01543,2025,31,Male,Poland,PhD,Data Analyst,Agriculture,51-200,23,On-site
R01544,2024,28,Female,France,Master's,DevOps / MLOps Engineer,Education,201-1000,5,Fully Remote
R01545,2025,35,Female,Singapore,Self-taught / Bootcamp,Business Analyst,E-commerce,201-1000,4,Fully Remote
R01546,2025,30,Male,India,Master's,Data Engineer,Finance & Banking,1001-5000,10,Hybrid
R01547,2024,31,Prefer not to say,United States,Bachelor's,Data Scientist,E-commerce,5000+,3,Hybrid
R01548,2025,25,Prefer not to say,United Kingdom,Master's,Data Scientist,Finance & Banking,11-50,9,Fully Remote
R01549,2025,37,Male,Japan,High School,Product Manager,Telecom,51-200,12,Fully Remote
R01550,2025,45,Male,Japan,Bachelor's,Business Analyst,Finance & Banking,11-50,17,On-site
R01551,2025,25,Male,Israel,Bachelor's,Full-Stack Developer,Finance & Banking,201-1000,6,Fully Remote
R01552,2025,20,Male,France,Bachelor's,ML Engineer,Media & Entertainment,1-10,6,Hybrid
R01553,2026,32,Prefer not to say,United Kingdom,Master's,Consultant,Retail,1001-5000,3,Hybrid
R01554,2026,31,Male,South Korea,Self-taught / Bootcamp,ML Engineer,Manufacturing,11-50,4,Fully Remote
R01555,2025,41,Male,United States,High School,ML Engineer,Technology,5000+,6,Hybrid
R01556,2024,22,Non-binary,Nigeria,Master's,ML Engineer,Energy,5000+,9,Hybrid
R01557,2026,27,Male,United Kingdom,Self-taught / Bootcamp,Data Scientist,Government,5000+,14,Fully Remote
R01558,2025,18,Female,United States,Bachelor's,Full-Stack Developer,Finance & Banking,1-10,4,Hybrid
R01559,2024,42,Male,United States,Self-taught / Bootcamp,Data Scientist,Technology,51-200,21,Fully Remote
R01560,2024,34,Prefer not to say,Italy,PhD,Data Analyst,Media & Entertainment,5000+,6,On-site
R01561,2024,28,Female,France,Bachelor's,Data Scientist,Finance & Banking,5000+,7,On-site
R01562,2024,21,Non-binary,United States,Self-taught / Bootcamp,Data Scientist,E-commerce,51-200,4,Hybrid
R01563,2024,22,Prefer not to say,India,PhD,AI Ethics / Policy,Technology,201-1000,1,On-site
R01564,2026,35,Male,United Kingdom,Bachelor's,Data Engineer,Education,51-200,13,Hybrid
R01565,2025,23,Male,United States,PhD,Data Analyst,Technology,5000+,12,Hybrid
R01566,2025,32,Female,United States,Master's,Data Analyst,E-commerce,11-50,6,Hybrid
R01567,2026,48,Female,Singapore,PhD,Data Engineer,Telecom,1001-5000,7,Fully Remote
R01568,2026,29,Male,South Korea,Master's,Full-Stack Developer,Education,51-200,10,On-site
R01569,2026,24,Non-binary,China,Master's,Business Analyst,Energy,51-200,2,On-site
R01570,2026,35,Male,United States,Master's,AI Researcher,E-commerce,201-1000,5,On-site
R01571,2025,22,Female,Mexico,Master's,Product Manager,Manufacturing,201-1000,12,Hybrid
R01572,2026,45,Male,India,PhD,Data Analyst,Healthcare,201-1000,3,Fully Remote
R01573,2025,43,Male,India,PhD,AI Researcher,Finance & Banking,1001-5000,9,Fully Remote
R01574,2024,30,Male,United States,Master's,AI Researcher,Finance & Banking,51-200,2,Hybrid
R01575,2025,24,Male,China,Self-taught / Bootcamp,Data Engineer,Technology,1001-5000,10,Fully Remote
R01576,2025,28,Male,Italy,PhD,ML Engineer,Finance & Banking,201-1000,7,On-site
R01577,2026,29,Male,UAE,Self-taught / Bootcamp,ML Engineer,Healthcare,1-10,2,Hybrid
R01578,2025,35,Male,United States,Bachelor's,ML Engineer,Finance & Banking,5000+,16,On-site
R01579,2025,40,Female,Kenya,Bachelor's,Product Manager,E-commerce,51-200,4,Hybrid
R01580,2024,23,Male,France,Master's,Business Analyst,E-commerce,5000+,4,Hybrid
R01581,2024,40,Male,United States,Master's,ML Engineer,Media & Entertainment,1001-5000,8,Hybrid
R01582,2024,36,Non-binary,India,Self-taught / Bootcamp,Business Analyst,Healthcare,201-1000,16,On-site
R01583,2025,27,Female,Japan,Bachelor's,DevOps / MLOps Engineer,Manufacturing,1001-5000,3,Hybrid
R01584,2026,23,Male,South Korea,Master's,Software Engineer,Energy,5000+,7,Fully Remote
R01585,2024,32,Female,Kenya,Bachelor's,ML Engineer,Healthcare,51-200,9,Hybrid
R01586,2025,23,Prefer not to say,Canada,PhD,UX Designer,Education,201-1000,12,Hybrid
R01587,2024,40,Non-binary,Canada,Bachelor's,Product Manager,Manufacturing,11-50,8,On-site
R01588,2024,23,Female,Japan,Master's,Business Analyst,E-commerce,5000+,5,Hybrid
R01589,2025,36,Female,South Korea,Master's,Engineering Manager,Technology,201-1000,4,Hybrid
R01590,2024,31,Male,United States,Bachelor's,ML Engineer,Finance & Banking,11-50,7,Fully Remote
R01591,2025,27,Female,Netherlands,Master's,Software Engineer,Technology,201-1000,3,Hybrid
R01592,2024,31,Female,United Kingdom,PhD,Data Analyst,Manufacturing,201-1000,0,Hybrid
R01593,2024,40,Male,United Kingdom,Bachelor's,ML Engineer,Finance & Banking,51-200,10,Hybrid
R01594,2025,22,Male,United States,Self-taught / Bootcamp,Data Engineer,Consulting,1-10,13,Hybrid
R01595,2025,28,Male,Brazil,Bachelor's,Data Scientist,Manufacturing,51-200,1,Fully Remote
R01596,2024,25,Female,United States,Bachelor's,ML Engineer,Media & Entertainment,51-200,3,Hybrid
R01597,2025,31,Male,Sweden,PhD,ML Engineer,Energy,1001-5000,11,On-site
R01598,2026,26,Male,France,Master's,Consultant,Healthcare,51-200,31,Fully Remote
R01599,2025,18,Female,China,Master's,DevOps / MLOps Engineer,Technology,5000+,7,Fully Remote
R01600,2024,23,Male,India,Bachelor's,Business Analyst,Automotive,11-50,4,Hybrid
R01601,2025,45,Prefer not to say,Japan,Master's,Data Scientist,Legal,5000+,6,Fully Remote
R01602,2025,33,Male,Spain,Bachelor's,ML Engineer,Technology,51-200,19,Hybrid
R01603,2024,33,Male,India,PhD,Full-Stack Developer,Government,5000+,4,On-site
R01604,2026,29,Male,United States,Master's,Product Manager,Technology,5000+,4,Fully Remote
R01605,2026,31,Male,France,Master's,Data Scientist,Technology,1001-5000,5,On-site
R01606,2026,28,Male,United Kingdom,Self-taught / Bootcamp,Product Manager,Manufacturing,5000+,3,Hybrid
R01607,2026,36,Female,India,PhD,Data Analyst,Finance & Banking,5000+,8,Fully Remote
R01608,2025,32,Female,China,PhD,ML Engineer,Telecom,5000+,23,Fully Remote
R01609,2025,22,Female,Singapore,Self-taught / Bootcamp,Product Manager,E-commerce,11-50,9,Hybrid
R01610,2025,34,Female,Germany,Bachelor's,ML Engineer,Consulting,201-1000,6,Fully Remote
R01611,2026,18,Male,United States,Master's,Data Engineer,Technology,201-1000,6,Hybrid
R01612,2025,35,Male,India,Bachelor's,Product Manager,Energy,201-1000,2,Hybrid
R01613,2024,20,Female,India,Bachelor's,UX Designer,Technology,1001-5000,13,On-site
R01614,2025,31,Female,Germany,High School,Data Analyst,Education,201-1000,6,Hybrid
R01615,2026,22,Male,Canada,Self-taught / Bootcamp,AI Researcher,Education,5000+,6,Hybrid
R01616,2024,32,Non-binary,United States,PhD,Full-Stack Developer,Technology,51-200,35,Hybrid
R01617,2025,36,Female,South Africa,Bachelor's,AI Researcher,Agriculture,201-1000,9,Fully Remote
R01618,2026,44,Female,Canada,Bachelor's,Product Manager,Finance & Banking,5000+,4,Hybrid
R01619,2025,19,Female,United States,Master's,Product Manager,Media & Entertainment,11-50,5,On-site
R01620,2026,39,Male,Japan,Master's,AI Researcher,Manufacturing,51-200,16,On-site
R01621,2025,33,Female,United States,Master's,Full-Stack Developer,Technology,11-50,7,Fully Remote
R01622,2024,28,Male,Netherlands,Master's,Data Analyst,Telecom,1-10,2,On-site
R01623,2026,38,Female,Japan,Master's,Engineering Manager,Finance & Banking,1-10,14,On-site
R01624,2024,30,Male,China,Self-taught / Bootcamp,Full-Stack Developer,Finance & Banking,51-200,4,On-site
R01625,2025,37,Male,United Kingdom,Master's,Business Analyst,Technology,5000+,27,On-site
R01626,2024,24,Male,United States,Self-taught / Bootcamp,UX Designer,Finance & Banking,51-200,15,Hybrid
R01627,2024,26,Male,United States,Bachelor's,AI Researcher,Education,51-200,5,On-site
R01628,2025,39,Male,United States,Bachelor's,Data Engineer,Technology,5000+,18,Hybrid
R01629,2025,43,Female,Nigeria,Bachelor's,ML Engineer,E-commerce,11-50,7,Fully Remote
R01630,2025,31,Male,Netherlands,Bachelor's,Data Scientist,Consulting,51-200,13,Fully Remote
R01631,2026,18,Male,Italy,Self-taught / Bootcamp,Business Analyst,Automotive,1001-5000,10,Fully Remote
R01632,2024,30,Male,India,Master's,Software Engineer,Media & Entertainment,1001-5000,4,Hybrid
R01633,2024,32,Female,South Korea,Master's,DevOps / MLOps Engineer,Technology,51-200,4,On-site
R01634,2025,30,Male,United States,Master's,Data Scientist,Healthcare,1-10,15,Fully Remote
R01635,2025,34,Male,Poland,Master's,Consultant,Education,201-1000,5,Hybrid
R01636,2026,28,Male,United States,Bachelor's,AI Researcher,Energy,1001-5000,5,Hybrid
R01637,2024,38,Female,South Korea,Master's,Data Scientist,E-commerce,1001-5000,3,Hybrid
R01638,2026,22,Male,India,Master's,Data Analyst,E-commerce,201-1000,9,On-site
R01639,2025,41,Male,India,Self-taught / Bootcamp,Full-Stack Developer,Finance & Banking,51-200,31,Hybrid
R01640,2025,44,Male,Japan,Master's,Data Engineer,E-commerce,1001-5000,3,Fully Remote
R01641,2024,24,Female,Poland,Self-taught / Bootcamp,Data Analyst,Finance & Banking,5000+,7,Fully Remote
R01642,2025,24,Male,Singapore,Master's,Data Scientist,Education,1001-5000,19,On-site
R01643,2024,35,Female,India,Bachelor's,Engineering Manager,Consulting,51-200,6,On-site
R01644,2024,22,Male,United Kingdom,Master's,Student / Intern,Automotive,5000+,10,Fully Remote
R01645,2025,28,Male,India,PhD,Data Scientist,Consulting,1001-5000,3,Fully Remote
R01646,2026,40,Male,Nigeria,Master's,Data Scientist,Consulting,11-50,9,Hybrid
R01647,2025,37,Female,United States,Bachelor's,Product Manager,Finance & Banking,51-200,6,Hybrid
R01648,2025,47,Male,Poland,Bachelor's,AI Researcher,Media & Entertainment,1001-5000,14,Hybrid
R01649,2025,33,Male,France,Bachelor's,Product Manager,Healthcare,5000+,16,Hybrid
R01650,2025,27,Female,Brazil,Master's,Software Engineer,Technology,201-1000,35,Fully Remote
R01651,2026,32,Male,Kenya,PhD,Data Scientist,Energy,11-50,11,Hybrid
R01652,2025,30,Male,Australia,Master's,Product Manager,Technology,11-50,9,Hybrid
R01653,2024,30,Male,India,PhD,ML Engineer,Technology,51-200,8,Hybrid
R01654,2024,31,Non-binary,United Kingdom,Master's,Software Engineer,Technology,1-10,5,Hybrid
R01655,2025,24,Female,United States,Master's,Product Manager,Technology,201-1000,9,On-site
R01656,2025,34,Female,Germany,Bachelor's,ML Engineer,Technology,1001-5000,6,On-site
R01657,2024,20,Male,United States,Self-taught / Bootcamp,AI Researcher,Manufacturing,201-1000,8,Hybrid
R01658,2026,26,Male,Australia,Bachelor's,Business Analyst,Telecom,5000+,18,Hybrid
R01659,2025,31,Male,United States,Bachelor's,Data Scientist,Consulting,1001-5000,3,Fully Remote
R01660,2025,18,Male,UAE,Bachelor's,Product Manager,Education,11-50,16,On-site
R01661,2024,38,Male,Japan,Bachelor's,AI Researcher,Consulting,51-200,18,Hybrid
R01662,2025,18,Female,Poland,Master's,Data Scientist,Healthcare,51-200,6,Hybrid
R01663,2026,37,Male,United States,Bachelor's,Business Analyst,Retail,201-1000,1,Hybrid
R01664,2026,21,Female,South Korea,Master's,Software Engineer,Healthcare,1001-5000,4,Fully Remote
R01665,2024,28,Male,Mexico,Master's,ML Engineer,Technology,11-50,18,Fully Remote
R01666,2024,36,Female,United States,Master's,Software Engineer,Media & Entertainment,11-50,7,On-site
R01667,2025,49,Male,Philippines,Bachelor's,AI Researcher,Telecom,1-10,3,Hybrid
R01668,2025,32,Male,India,PhD,Product Manager,Finance & Banking,11-50,5,On-site
R01669,2025,18,Female,India,Master's,ML Engineer,Finance & Banking,1001-5000,13,Hybrid
R01670,2026,39,Prefer not to say,United Kingdom,Bachelor's,AI Ethics / Policy,Media & Entertainment,1-10,10,Hybrid
R01671,2025,30,Prefer not to say,United States,Self-taught / Bootcamp,Software Engineer,Education,1001-5000,6,Fully Remote
R01672,2024,32,Male,Mexico,Bachelor's,Software Engineer,Energy,1001-5000,5,Fully Remote
R01673,2026,36,Male,India,PhD,ML Engineer,E-commerce,5000+,5,On-site
R01674,2024,18,Female,Canada,Master's,Data Scientist,Manufacturing,1001-5000,3,Hybrid
R01675,2026,32,Male,France,Bachelor's,Student / Intern,Finance & Banking,1001-5000,22,On-site
R01676,2025,28,Female,South Korea,Self-taught / Bootcamp,Business Analyst,Retail,11-50,5,Hybrid
R01677,2026,41,Male,India,Bachelor's,Full-Stack Developer,Healthcare,5000+,17,On-site
R01678,2024,37,Male,Netherlands,PhD,Data Analyst,E-commerce,51-200,21,On-site
R01679,2024,18,Female,United States,Bachelor's,Data Analyst,Education,51-200,14,On-site
R01680,2025,42,Male,Japan,Master's,Student / Intern,Finance & Banking,201-1000,5,On-site
R01681,2025,35,Female,Sweden,Self-taught / Bootcamp,ML Engineer,Finance & Banking,1001-5000,9,Hybrid
R01682,2024,19,Male,United States,Master's,Software Engineer,E-commerce,51-200,7,On-site
R01683,2026,32,Female,United States,Bachelor's,ML Engineer,Finance & Banking,1001-5000,3,On-site
R01684,2026,40,Male,Brazil,Master's,Software Engineer,Technology,51-200,9,Fully Remote
R01685,2025,22,Male,United States,Master's,DevOps / MLOps Engineer,Telecom,11-50,3,Hybrid
R01686,2024,43,Prefer not to say,India,Master's,Software Engineer,Finance & Banking,1001-5000,16,On-site
R01687,2025,19,Male,India,Self-taught / Bootcamp,UX Designer,Healthcare,5000+,5,Hybrid
R01688,2025,25,Non-binary,Germany,Self-taught / Bootcamp,Data Scientist,E-commerce,5000+,8,Fully Remote
R01689,2025,24,Female,India,Bachelor's,Software Engineer,Telecom,1-10,9,Hybrid
R01690,2026,43,Non-binary,Germany,PhD,Data Engineer,Technology,201-1000,6,Fully Remote
R01691,2024,28,Male,Canada,Self-taught / Bootcamp,DevOps / MLOps Engineer,Education,51-200,11,On-site
R01692,2024,22,Male,Netherlands,Bachelor's,Full-Stack Developer,Finance & Banking,201-1000,5,Hybrid
R01693,2024,35,Female,South Africa,Bachelor's,Software Engineer,Telecom,1-10,13,Fully Remote
R01694,2026,37,Female,Canada,High School,Software Engineer,Manufacturing,201-1000,2,Fully Remote
R01695,2025,37,Female,United Kingdom,Bachelor's,UX Designer,Technology,5000+,8,On-site
R01696,2024,29,Male,India,Self-taught / Bootcamp,Full-Stack Developer,Finance & Banking,201-1000,28,Hybrid
R01697,2024,34,Non-binary,France,Master's,Software Engineer,Technology,51-200,3,Hybrid
R01698,2024,26,Male,South Africa,Master's,ML Engineer,Government,5000+,4,Fully Remote
R01699,2024,45,Female,Singapore,Bachelor's,Data Scientist,Healthcare,201-1000,10,Fully Remote
R01700,2025,41,Male,India,Bachelor's,Data Engineer,Technology,1-10,8,Fully Remote
R01701,2024,40,Male,Poland,Master's,Business Analyst,Technology,51-200,9,Fully Remote
R01702,2024,38,Male,Netherlands,Master's,Product Manager,Automotive,5000+,10,Fully Remote
R01703,2026,36,Female,United States,Master's,Full-Stack Developer,Telecom,51-200,11,Fully Remote
R01704,2025,22,Female,Japan,Bachelor's,Engineering Manager,Finance & Banking,51-200,16,On-site
R01705,2025,37,Prefer not to say,India,PhD,Full-Stack Developer,E-commerce,51-200,9,Hybrid
R01706,2024,32,Male,Canada,Self-taught / Bootcamp,Data Analyst,Education,5000+,6,Hybrid
R01707,2025,42,Male,India,Master's,ML Engineer,E-commerce,51-200,11,Hybrid
R01708,2025,38,Male,United States,Master's,Business Analyst,Finance & Banking,51-200,27,On-site
R01709,2024,36,Male,Singapore,Bachelor's,ML Engineer,Healthcare,5000+,6,Hybrid
R01710,2024,18,Male,Nigeria,Bachelor's,Full-Stack Developer,Technology,5000+,3,Fully Remote
R01711,2026,31,Male,India,Master's,Software Engineer,Technology,201-1000,16,Hybrid
R01712,2026,27,Male,India,PhD,ML Engineer,Technology,5000+,6,Fully Remote
R01713,2024,34,Male,Germany,Master's,ML Engineer,Technology,1001-5000,1,On-site
R01714,2024,28,Male,Nigeria,Master's,Software Engineer,Healthcare,11-50,13,Hybrid
R01715,2026,29,Non-binary,United States,Master's,Software Engineer,Manufacturing,1001-5000,5,On-site
R01716,2024,35,Female,Nigeria,Bachelor's,ML Engineer,Technology,1001-5000,6,On-site
R01717,2025,28,Female,Indonesia,Self-taught / Bootcamp,ML Engineer,E-commerce,1001-5000,9,Hybrid
R01718,2026,32,Female,Brazil,Master's,Data Analyst,Finance & Banking,201-1000,8,On-site
R01719,2026,19,Male,United States,Master's,Data Engineer,Technology,201-1000,12,On-site
R01720,2025,25,Female,India,Bachelor's,Data Scientist,Technology,5000+,5,Hybrid
R01721,2024,37,Female,United States,PhD,Software Engineer,Education,1001-5000,10,Hybrid
R01722,2024,22,Male,India,Master's,Product Manager,Technology,1001-5000,6,Fully Remote
R01723,2026,41,Female,Nigeria,PhD,UX Designer,Education,51-200,12,Hybrid
R01724,2026,39,Male,United States,Bachelor's,Software Engineer,Technology,5000+,11,Fully Remote
R01725,2025,29,Male,India,Bachelor's,Software Engineer,Telecom,1001-5000,3,Hybrid
R01726,2026,55,Female,Canada,Master's,Full-Stack Developer,Technology,201-1000,15,Hybrid
R01727,2025,41,Female,Mexico,Master's,Software Engineer,Healthcare,201-1000,5,Hybrid
R01728,2025,24,Male,India,Bachelor's,Data Engineer,Government,1001-5000,13,Hybrid
R01729,2026,37,Male,South Korea,Bachelor's,Data Analyst,Government,5000+,9,Fully Remote
R01730,2025,32,Male,Brazil,Bachelor's,Product Manager,Technology,1001-5000,26,Hybrid
R01731,2025,25,Male,Australia,PhD,Product Manager,Technology,5000+,6,Fully Remote
R01732,2024,23,Prefer not to say,UAE,Bachelor's,Data Scientist,E-commerce,201-1000,5,Fully Remote
R01733,2025,39,Female,United States,Master's,Software Engineer,Manufacturing,201-1000,7,On-site
R01734,2025,27,Female,Canada,Master's,ML Engineer,Government,11-50,5,Hybrid
R01735,2024,31,Male,Singapore,PhD,Business Analyst,Education,201-1000,12,On-site
R01736,2026,24,Male,Mexico,Bachelor's,AI Ethics / Policy,Consulting,201-1000,2,On-site
R01737,2025,26,Male,United States,Bachelor's,ML Engineer,Healthcare,1001-5000,3,Hybrid
R01738,2026,30,Male,United Kingdom,Master's,Data Scientist,Education,1001-5000,3,Fully Remote
R01739,2024,35,Male,United States,Bachelor's,AI Researcher,Healthcare,5000+,14,Hybrid
R01740,2025,18,Female,Kenya,Master's,Data Analyst,Government,11-50,24,Fully Remote
R01741,2024,32,Male,UAE,Master's,Data Scientist,Technology,5000+,6,Hybrid
R01742,2026,26,Male,Germany,Self-taught / Bootcamp,Engineering Manager,Finance & Banking,51-200,6,Fully Remote
R01743,2024,43,Male,United States,Master's,AI Ethics / Policy,Telecom,1001-5000,7,On-site
R01744,2025,55,Male,United States,Bachelor's,Data Engineer,Media & Entertainment,201-1000,16,Hybrid
R01745,2026,29,Female,France,Master's,Software Engineer,Media & Entertainment,1001-5000,3,Fully Remote
R01746,2025,18,Male,Italy,Self-taught / Bootcamp,Data Scientist,Technology,201-1000,8,On-site
R01747,2026,32,Female,Kenya,Self-taught / Bootcamp,Product Manager,E-commerce,1001-5000,14,Hybrid
R01748,2026,30,Female,South Korea,Self-taught / Bootcamp,Software Engineer,Education,1001-5000,10,Hybrid
R01749,2024,47,Female,Germany,Self-taught / Bootcamp,ML Engineer,Government,11-50,8,On-site
R01750,2024,45,Male,China,Bachelor's,DevOps / MLOps Engineer,Healthcare,51-200,14,Fully Remote
R01751,2024,38,Male,Nigeria,High School,Full-Stack Developer,E-commerce,5000+,1,Fully Remote
R01752,2024,27,Male,India,Master's,AI Researcher,Finance & Banking,5000+,11,Fully Remote
R01753,2026,37,Prefer not to say,Singapore,Master's,Software Engineer,Telecom,1001-5000,4,Fully Remote
R01754,2026,34,Female,Germany,Bachelor's,AI Researcher,Retail,51-200,2,Hybrid
R01755,2024,33,Male,Australia,Bachelor's,Product Manager,E-commerce,51-200,10,On-site
R01756,2025,19,Male,Spain,Self-taught / Bootcamp,Data Scientist,Healthcare,1-10,19,Hybrid
R01757,2025,40,Male,India,Self-taught / Bootcamp,Data Analyst,Finance & Banking,5000+,6,On-site
R01758,2024,32,Male,South Korea,Bachelor's,Product Manager,Finance & Banking,1001-5000,14,Fully Remote
R01759,2025,31,Female,Brazil,Bachelor's,Data Scientist,Education,201-1000,22,On-site
R01760,2024,27,Male,South Africa,Self-taught / Bootcamp,Data Analyst,Technology,1001-5000,18,Hybrid
R01761,2025,25,Male,United States,Master's,Software Engineer,Education,201-1000,23,On-site
R01762,2025,34,Male,Netherlands,PhD,Data Engineer,Education,51-200,12,On-site
R01763,2025,18,Male,United States,Master's,Data Analyst,Media & Entertainment,201-1000,7,On-site
R01764,2024,38,Male,India,PhD,Data Analyst,Finance & Banking,1001-5000,2,Fully Remote
R01765,2026,23,Male,India,Master's,ML Engineer,Media & Entertainment,5000+,6,Hybrid
R01766,2025,18,Male,Germany,Self-taught / Bootcamp,Consultant,Technology,11-50,4,Fully Remote
R01767,2026,46,Female,Spain,Bachelor's,Consultant,E-commerce,1-10,33,Fully Remote
R01768,2025,25,Male,United States,Master's,Software Engineer,Telecom,51-200,6,Hybrid
R01769,2026,26,Male,United States,Master's,Engineering Manager,Media & Entertainment,1-10,8,On-site
R01770,2026,41,Female,India,Master's,Product Manager,Telecom,201-1000,10,Fully Remote
R01771,2025,46,Male,Germany,Bachelor's,Full-Stack Developer,Technology,5000+,7,On-site
R01772,2025,19,Male,United States,Master's,Data Scientist,Media & Entertainment,51-200,24,On-site
R01773,2026,24,Male,Spain,Bachelor's,Data Scientist,E-commerce,201-1000,4,Fully Remote
R01774,2025,24,Male,Brazil,Self-taught / Bootcamp,AI Researcher,Finance & Banking,201-1000,8,Fully Remote
R01775,2026,39,Male,Nigeria,Bachelor's,Data Scientist,Finance & Banking,5000+,4,Fully Remote
R01776,2026,45,Male,Singapore,PhD,UX Designer,Technology,5000+,2,Hybrid
R01777,2025,23,Male,Australia,Master's,Data Engineer,Media & Entertainment,1001-5000,4,Fully Remote
R01778,2024,43,Female,Poland,Master's,Business Analyst,Manufacturing,1-10,7,Fully Remote
R01779,2024,26,Male,Poland,Bachelor's,Data Scientist,Technology,11-50,5,Hybrid
R01780,2026,34,Prefer not to say,United States,Self-taught / Bootcamp,Data Analyst,E-commerce,51-200,4,Hybrid
R01781,2024,21,Female,Poland,Bachelor's,Data Scientist,Technology,201-1000,2,On-site
R01782,2024,31,Female,Canada,Master's,Engineering Manager,Finance & Banking,1001-5000,6,Hybrid
R01783,2025,31,Female,India,Bachelor's,Product Manager,Technology,11-50,2,Fully Remote
R01784,2025,29,Male,France,Self-taught / Bootcamp,ML Engineer,Education,51-200,12,Hybrid
R01785,2024,35,Male,India,PhD,Product Manager,Technology,201-1000,7,Fully Remote
R01786,2024,23,Prefer not to say,Germany,Self-taught / Bootcamp,Data Scientist,Finance & Banking,1001-5000,2,Fully Remote
R01787,2025,24,Male,Nigeria,Self-taught / Bootcamp,ML Engineer,Finance & Banking,51-200,5,Fully Remote
R01788,2024,35,Male,United States,Master's,Data Scientist,Government,201-1000,4,Fully Remote
R01789,2026,42,Male,India,Bachelor's,UX Designer,Healthcare,201-1000,9,Fully Remote
R01790,2024,31,Male,Israel,Bachelor's,AI Researcher,Education,5000+,18,On-site
R01791,2026,36,Male,Germany,Bachelor's,Software Engineer,Finance & Banking,5000+,1,On-site
R01792,2026,38,Male,India,Bachelor's,Data Scientist,E-commerce,5000+,8,On-site
R01793,2025,38,Female,Indonesia,Master's,Data Analyst,Technology,11-50,6,Fully Remote
R01794,2024,24,Male,Sweden,Self-taught / Bootcamp,AI Researcher,Legal,5000+,11,On-site
R01795,2025,25,Female,United States,High School,Software Engineer,E-commerce,201-1000,8,Hybrid
R01796,2025,26,Male,United Kingdom,Bachelor's,Data Analyst,Energy,201-1000,4,Hybrid
R01797,2024,47,Male,Sweden,Master's,Data Scientist,Technology,1001-5000,5,Hybrid
R01798,2026,36,Male,India,Self-taught / Bootcamp,Engineering Manager,Education,201-1000,4,Fully Remote
R01799,2025,35,Female,Brazil,Bachelor's,ML Engineer,Manufacturing,51-200,15,Fully Remote
R01800,2026,34,Female,India,Master's,AI Ethics / Policy,Consulting,51-200,7,Fully Remote
R01801,2024,21,Male,Netherlands,Master's,AI Researcher,E-commerce,201-1000,27,Fully Remote
R01802,2024,47,Male,United States,Bachelor's,Data Engineer,Technology,5000+,7,Hybrid
R01803,2026,35,Female,Brazil,Master's,Product Manager,Finance & Banking,1001-5000,4,Hybrid
R01804,2025,37,Female,United States,Master's,Data Engineer,Finance & Banking,201-1000,2,Hybrid
R01805,2025,18,Male,India,PhD,Data Scientist,Finance & Banking,51-200,2,Hybrid
R01806,2025,38,Male,United States,Self-taught / Bootcamp,ML Engineer,Technology,1-10,2,Fully Remote
R01807,2024,29,Female,India,Self-taught / Bootcamp,Software Engineer,Technology,51-200,8,On-site
